in s,C1 in V
-1.99981E+01,4.63969E+00
-1.99976E+01,4.63390E+00
-1.99971E+01,4.62444E+00
-1.99966E+01,4.63298E+00
-1.99961E+01,4.63969E+00
-1.99956E+01,4.63329E+00
-1.99951E+01,4.64412E+00
-1.99946E+01,4.62718E+00
-1.99940E+01,4.62871E+00
-1.99935E+01,4.63527E+00
-1.99930E+01,4.64198E+00
-1.99925E+01,4.63664E+00
-1.99920E+01,4.63985E+00
-1.99915E+01,4.62108E+00
-1.99910E+01,4.63100E+00
-1.99905E+01,4.64000E+00
-1.99900E+01,4.63725E+00
-1.99895E+01,4.64198E+00
-1.99890E+01,4.62718E+00
-1.99885E+01,4.62856E+00
-1.99880E+01,4.63680E+00
-1.99875E+01,4.64061E+00
-1.99870E+01,4.63741E+00
-1.99865E+01,4.64183E+00
-1.99860E+01,4.62230E+00
-1.99855E+01,4.62932E+00
-1.99850E+01,4.63908E+00
-1.99845E+01,4.63908E+00
-1.99840E+01,4.64229E+00
-1.99835E+01,4.63039E+00
-1.99830E+01,4.62901E+00
-1.99825E+01,4.63832E+00
-1.99820E+01,4.64229E+00
-1.99814E+01,4.63603E+00
-1.99809E+01,4.64397E+00
-1.99804E+01,4.62520E+00
-1.99799E+01,4.62978E+00
-1.99794E+01,4.63756E+00
-1.99789E+01,4.63969E+00
-1.99784E+01,4.64259E+00
-1.99779E+01,4.62886E+00
-1.99774E+01,4.62520E+00
-1.99769E+01,4.63634E+00
-1.99764E+01,4.64336E+00
-1.99759E+01,4.63466E+00
-1.99754E+01,4.64244E+00
-1.99749E+01,4.62413E+00
-1.99744E+01,4.63115E+00
-1.99739E+01,4.63680E+00
-1.99734E+01,4.64000E+00
-1.99729E+01,4.64046E+00
-1.99724E+01,4.63756E+00
-1.99719E+01,4.62688E+00
-1.99714E+01,4.63557E+00
-1.99709E+01,4.64305E+00
-1.99704E+01,4.63817E+00
-1.99699E+01,4.64397E+00
-1.99694E+01,4.62642E+00
-1.99688E+01,4.62932E+00
-1.99683E+01,4.63817E+00
-1.99678E+01,4.63710E+00
-1.99673E+01,4.63832E+00
-1.99668E+01,4.63359E+00
-1.99663E+01,4.62688E+00
-1.99658E+01,4.63115E+00
-1.99653E+01,4.64061E+00
-1.99648E+01,4.63283E+00
-1.99643E+01,4.64381E+00
-1.99638E+01,4.62199E+00
-1.99633E+01,4.62764E+00
-1.99628E+01,4.63634E+00
-1.99623E+01,4.64091E+00
-1.99618E+01,4.63405E+00
-1.99613E+01,4.64168E+00
-1.99608E+01,4.62718E+00
-1.99603E+01,4.63542E+00
-1.99598E+01,4.64000E+00
-1.99593E+01,4.63908E+00
-1.99588E+01,4.64473E+00
-1.99583E+01,4.62947E+00
-1.99578E+01,4.62566E+00
-1.99573E+01,4.63786E+00
-1.99568E+01,4.64061E+00
-1.99562E+01,4.63786E+00
-1.99557E+01,4.63741E+00
-1.99552E+01,4.62642E+00
-1.99547E+01,4.63420E+00
-1.99542E+01,4.64336E+00
-1.99537E+01,4.63908E+00
-1.99532E+01,4.64626E+00
-1.99527E+01,4.62779E+00
-1.99522E+01,4.62840E+00
-1.99517E+01,4.63283E+00
-1.99512E+01,4.64183E+00
-1.99507E+01,4.63451E+00
-1.99502E+01,4.64549E+00
-1.99497E+01,4.62321E+00
-1.99492E+01,4.63222E+00
-1.99487E+01,4.63939E+00
-1.99482E+01,4.64198E+00
-1.99477E+01,4.63847E+00
-1.99472E+01,4.63069E+00
-1.99467E+01,4.62444E+00
-1.99462E+01,4.63435E+00
-1.99457E+01,4.63542E+00
-1.99452E+01,4.63329E+00
-1.99447E+01,4.64351E+00
-1.99442E+01,4.62520E+00
-1.99436E+01,4.62764E+00
-1.99431E+01,4.63969E+00
-1.99426E+01,4.63924E+00
-1.99421E+01,4.64183E+00
-1.99416E+01,4.62672E+00
-1.99411E+01,4.62505E+00
-1.99406E+01,4.63359E+00
-1.99401E+01,4.64137E+00
-1.99396E+01,4.63206E+00
-1.99391E+01,4.64626E+00
-1.99386E+01,4.62398E+00
-1.99381E+01,4.63054E+00
-1.99376E+01,4.63527E+00
-1.99371E+01,4.64122E+00
-1.99366E+01,4.63832E+00
-1.99361E+01,4.63466E+00
-1.99356E+01,4.61925E+00
-1.99351E+01,4.63130E+00
-1.99346E+01,4.63695E+00
-1.99341E+01,4.63283E+00
-1.99336E+01,4.63908E+00
-1.99331E+01,4.62459E+00
-1.99326E+01,4.62962E+00
-1.99321E+01,4.63832E+00
-1.99316E+01,4.63847E+00
-1.99310E+01,4.63786E+00
-1.99305E+01,4.63451E+00
-1.99300E+01,4.62367E+00
-1.99295E+01,4.63008E+00
-1.99290E+01,4.64076E+00
-1.99285E+01,4.63588E+00
-1.99280E+01,4.64442E+00
-1.99275E+01,4.62550E+00
-1.99270E+01,4.62840E+00
-1.99265E+01,4.63832E+00
-1.99260E+01,4.64137E+00
-1.99255E+01,4.63557E+00
-1.99250E+01,4.64122E+00
-1.99245E+01,4.62444E+00
-1.99240E+01,4.63054E+00
-1.99235E+01,4.63588E+00
-1.99230E+01,4.63542E+00
-1.99225E+01,4.64137E+00
-1.99220E+01,4.62367E+00
-1.99215E+01,4.62459E+00
-1.99210E+01,4.63420E+00
-1.99205E+01,4.63954E+00
-1.99200E+01,4.63359E+00
-1.99195E+01,4.63649E+00
-1.99190E+01,4.62291E+00
-1.99184E+01,4.63054E+00
-1.99179E+01,4.63680E+00
-1.99174E+01,4.63603E+00
-1.99169E+01,4.64244E+00
-1.99164E+01,4.63084E+00
-1.99159E+01,4.62642E+00
-1.99154E+01,4.63557E+00
-1.99149E+01,4.64183E+00
-1.99144E+01,4.63542E+00
-1.99139E+01,4.64198E+00
-1.99134E+01,4.62215E+00
-1.99129E+01,4.62886E+00
-1.99124E+01,4.63786E+00
-1.99119E+01,4.63618E+00
-1.99114E+01,4.63924E+00
-1.99109E+01,4.62856E+00
-1.99104E+01,4.62764E+00
-1.99099E+01,4.63405E+00
-1.99094E+01,4.64015E+00
-1.99089E+01,4.63420E+00
-1.99084E+01,4.64168E+00
-1.99079E+01,4.62032E+00
-1.99074E+01,4.62840E+00
-1.99069E+01,4.63664E+00
-1.99064E+01,4.63786E+00
-1.99058E+01,4.63634E+00
-1.99053E+01,4.63496E+00
-1.99048E+01,4.62581E+00
-1.99043E+01,4.63512E+00
-1.99038E+01,4.63756E+00
-1.99033E+01,4.63374E+00
-1.99028E+01,4.64305E+00
-1.99023E+01,4.62459E+00
-1.99018E+01,4.62474E+00
-1.99013E+01,4.63725E+00
-1.99008E+01,4.63817E+00
-1.99003E+01,4.63771E+00
-1.98998E+01,4.62932E+00
-1.98993E+01,4.62520E+00
-1.98988E+01,4.63145E+00
-1.98983E+01,4.64015E+00
-1.98978E+01,4.63283E+00
-1.98973E+01,4.64305E+00
-1.98968E+01,4.62337E+00
-1.98963E+01,4.62749E+00
-1.98958E+01,4.63252E+00
-1.98953E+01,4.63863E+00
-1.98948E+01,4.63359E+00
-1.98943E+01,4.63847E+00
-1.98938E+01,4.62032E+00
-1.98932E+01,4.63252E+00
-1.98927E+01,4.63878E+00
-1.98922E+01,4.63634E+00
-1.98917E+01,4.63908E+00
-1.98912E+01,4.62474E+00
-1.98907E+01,4.62413E+00
-1.98902E+01,4.63405E+00
-1.98897E+01,4.63435E+00
-1.98892E+01,4.63435E+00
-1.98887E+01,4.63527E+00
-1.98882E+01,4.62276E+00
-1.98877E+01,4.62688E+00
-1.98872E+01,4.63908E+00
-1.98867E+01,4.63588E+00
-1.98862E+01,4.64137E+00
-1.98857E+01,4.62093E+00
-1.98852E+01,4.62413E+00
-1.98847E+01,4.63313E+00
-1.98842E+01,4.63939E+00
-1.98837E+01,4.62810E+00
-1.98832E+01,4.64122E+00
-1.98827E+01,4.62169E+00
-1.98822E+01,4.62917E+00
-1.98817E+01,4.63390E+00
-1.98812E+01,4.63756E+00
-1.98806E+01,4.63832E+00
-1.98801E+01,4.62718E+00
-1.98796E+01,4.61909E+00
-1.98791E+01,4.63145E+00
-1.98786E+01,4.63557E+00
-1.98781E+01,4.63237E+00
-1.98776E+01,4.63695E+00
-1.98771E+01,4.62169E+00
-1.98766E+01,4.62825E+00
-1.98761E+01,4.63863E+00
-1.98756E+01,4.63512E+00
-1.98751E+01,4.63985E+00
-1.98746E+01,4.62733E+00
-1.98741E+01,4.62398E+00
-1.98736E+01,4.62825E+00
-1.98731E+01,4.63893E+00
-1.98726E+01,4.63161E+00
-1.98721E+01,4.64412E+00
-1.98716E+01,4.62123E+00
-1.98711E+01,4.62917E+00
-1.98706E+01,4.63725E+00
-1.98701E+01,4.63878E+00
-1.98696E+01,4.63420E+00
-1.98691E+01,4.63252E+00
-1.98686E+01,4.62230E+00
-1.98680E+01,4.63008E+00
-1.98675E+01,4.63496E+00
-1.98670E+01,4.63252E+00
-1.98665E+01,4.64015E+00
-1.98660E+01,4.62093E+00
-1.98655E+01,4.62398E+00
