in s,C1 in V
-2.99981E+00,1.96605E+00
-2.99976E+00,4.77931E+00
-2.99971E+00,4.64091E+00
-2.99966E+00,4.64137E+00
-2.99961E+00,4.64244E+00
-2.99956E+00,4.64183E+00
-2.99951E+00,4.64122E+00
-2.99946E+00,4.64000E+00
-2.99940E+00,4.64122E+00
-2.99935E+00,4.64229E+00
-2.99930E+00,4.64305E+00
-2.99925E+00,4.64259E+00
-2.99920E+00,4.64366E+00
-2.99915E+00,4.64320E+00
-2.99910E+00,4.64290E+00
-2.99905E+00,4.64336E+00
-2.99900E+00,4.64320E+00
-2.99895E+00,4.64320E+00
-2.99890E+00,4.64336E+00
-2.99885E+00,4.64351E+00
-2.99880E+00,4.64290E+00
-2.99875E+00,4.64366E+00
-2.99870E+00,4.64381E+00
-2.99865E+00,4.64229E+00
-2.99860E+00,4.64168E+00
-2.99855E+00,4.63908E+00
-2.99850E+00,4.63786E+00
-2.99845E+00,4.63817E+00
-2.99840E+00,4.63939E+00
-2.99835E+00,4.64091E+00
-2.99830E+00,4.64000E+00
-2.99825E+00,4.64030E+00
-2.99820E+00,4.64076E+00
-2.99814E+00,4.64153E+00
-2.99809E+00,4.64198E+00
-2.99804E+00,4.64168E+00
-2.99799E+00,4.64153E+00
-2.99794E+00,4.64198E+00
-2.99789E+00,4.64214E+00
-2.99784E+00,4.64183E+00
-2.99779E+00,4.64305E+00
-2.99774E+00,4.64320E+00
-2.99769E+00,4.64275E+00
-2.99764E+00,4.64320E+00
-2.99759E+00,4.64259E+00
-2.99754E+00,4.64183E+00
-2.99749E+00,4.64229E+00
-2.99744E+00,4.64275E+00
-2.99739E+00,4.64275E+00
-2.99734E+00,4.64305E+00
-2.99729E+00,4.64366E+00
-2.99724E+00,4.64229E+00
-2.99719E+00,4.64168E+00
-2.99714E+00,4.64229E+00
-2.99709E+00,4.64336E+00
-2.99704E+00,4.64336E+00
-2.99699E+00,4.64336E+00
-2.99694E+00,4.64412E+00
-2.99688E+00,4.64336E+00
-2.99683E+00,4.64305E+00
-2.99678E+00,4.64412E+00
-2.99673E+00,4.64336E+00
-2.99668E+00,4.64427E+00
-2.99663E+00,4.64366E+00
-2.99658E+00,4.64381E+00
-2.99653E+00,4.64290E+00
-2.99648E+00,4.64244E+00
-2.99643E+00,4.64214E+00
-2.99638E+00,4.64153E+00
-2.99633E+00,4.63802E+00
-2.99628E+00,4.63298E+00
-2.99623E+00,4.62749E+00
-2.99618E+00,4.62474E+00
-2.99613E+00,4.62215E+00
-2.99608E+00,4.62260E+00
-2.99603E+00,4.62520E+00
-2.99598E+00,4.62672E+00
-2.99593E+00,4.62856E+00
-2.99588E+00,4.63069E+00
-2.99583E+00,4.63237E+00
