in s,C1 in V
-4.40961E+00,4.66472E+00
-4.40951E+00,4.66777E+00
-4.40941E+00,4.66823E+00
-4.40931E+00,4.66884E+00
-4.40921E+00,4.66914E+00
-4.40911E+00,4.66899E+00
-4.40901E+00,4.66655E+00
-4.40891E+00,4.66563E+00
-4.40881E+00,4.65938E+00
-4.40871E+00,4.65816E+00
-4.40861E+00,4.65282E+00
-4.40850E+00,4.67296E+00
-4.40840E+00,4.69035E+00
-4.40830E+00,4.67647E+00
-4.40820E+00,4.66335E+00
-4.40810E+00,4.65831E+00
-4.40800E+00,4.65327E+00
-4.40790E+00,4.65266E+00
-4.40780E+00,4.64641E+00
-4.40770E+00,4.65190E+00
-4.40760E+00,4.65266E+00
-4.40750E+00,4.65541E+00
-4.40740E+00,4.65739E+00
-4.40730E+00,4.65877E+00
-4.40719E+00,4.66029E+00
-4.40709E+00,4.66243E+00
-4.40699E+00,4.66396E+00
-4.40689E+00,4.66747E+00
-4.40679E+00,4.66045E+00
-4.40669E+00,4.66075E+00
-4.40659E+00,4.66182E+00
-4.40649E+00,4.67097E+00
-4.40639E+00,4.67036E+00
-4.40629E+00,4.66853E+00
-4.40619E+00,4.66731E+00
-4.40609E+00,4.66441E+00
-4.40598E+00,4.66167E+00
-4.40588E+00,4.66136E+00
-4.40578E+00,4.66380E+00
-4.40568E+00,4.68776E+00
-4.40558E+00,4.68013E+00
-4.40548E+00,4.66731E+00
-4.40538E+00,4.65907E+00
-4.40528E+00,4.65572E+00
-4.40518E+00,4.65297E+00
-4.40508E+00,4.65099E+00
-4.40498E+00,4.65175E+00
-4.40488E+00,4.65266E+00
-4.40478E+00,4.64992E+00
-4.40467E+00,4.65587E+00
-4.40457E+00,4.64809E+00
-4.40447E+00,4.66045E+00
-4.40437E+00,4.66167E+00
-4.40427E+00,4.66441E+00
-4.40417E+00,4.66487E+00
-4.40407E+00,4.66624E+00
-4.40397E+00,4.66838E+00
-4.40387E+00,4.66991E+00
-4.40377E+00,4.66212E+00
