in s,C2 in V
1.600008E+00,-1.33270E-02
1.600212E+00,-1.39374E-02
1.600416E+00,-1.50055E-02
1.600620E+00,-1.51581E-02
1.600824E+00,-1.37848E-02
1.601028E+00,-1.31744E-02
1.601232E+00,-1.36322E-02
1.601436E+00,-1.40900E-02
1.601640E+00,-1.37848E-02
1.601844E+00,-1.33270E-02
1.602048E+00,-1.36322E-02
1.602252E+00,-1.39374E-02
1.602456E+00,-1.40900E-02
1.602660E+00,-1.25641E-02
1.602864E+00,-1.33270E-02
1.603068E+00,-1.43951E-02
1.603272E+00,-1.47003E-02
1.603476E+00,-1.39374E-02
1.603680E+00,-1.39374E-02
1.603884E+00,-1.34796E-02
1.604088E+00,-1.31744E-02
1.604292E+00,-1.34796E-02
1.604496E+00,-1.36322E-02
1.604700E+00,-1.43951E-02
1.604904E+00,-1.42426E-02
1.605108E+00,-1.42426E-02
1.605312E+00,-1.37848E-02
1.605516E+00,-1.42426E-02
1.605720E+00,-1.30219E-02
1.605924E+00,-1.36322E-02
1.606128E+00,-1.31744E-02
1.606332E+00,-1.34796E-02
1.606536E+00,-1.37848E-02
1.606740E+00,-1.40900E-02
1.606944E+00,-1.50055E-02
1.607148E+00,-1.53107E-02
1.607352E+00,-1.50055E-02
1.607556E+00,-1.45477E-02
1.607760E+00,-1.43951E-02
1.607964E+00,-1.43951E-02
1.608168E+00,-1.47003E-02
1.608372E+00,-1.48529E-02
1.608576E+00,-1.40900E-02
1.608780E+00,-1.43951E-02
1.608984E+00,-1.43951E-02
1.609188E+00,-1.50055E-02
1.609392E+00,-1.39374E-02
1.609596E+00,-1.33270E-02
1.609800E+00,-1.36322E-02
1.610004E+00,-1.22589E-02
1.610208E+00,-1.33270E-02
1.610412E+00,-1.43951E-02
1.610616E+00,-1.40900E-02
1.610820E+00,-1.34796E-02
1.611024E+00,-1.36322E-02
1.611228E+00,-1.48529E-02
1.611432E+00,-1.51581E-02
1.611636E+00,-1.45477E-02
1.611840E+00,-1.39374E-02
1.612044E+00,-1.39374E-02
1.612248E+00,-1.43951E-02
1.612452E+00,-1.39374E-02
1.612656E+00,-1.51581E-02
1.612860E+00,-1.43951E-02
