in s,C1 in V
4.125617E+00,4.87083E+00
4.125667E+00,4.87007E+00
4.125718E+00,4.87144E+00
4.125768E+00,4.87007E+00
4.125818E+00,4.87022E+00
4.125869E+00,4.87099E+00
4.125919E+00,4.87038E+00
4.125970E+00,4.86916E+00
4.126020E+00,4.86931E+00
4.126070E+00,4.86992E+00
4.126121E+00,4.86946E+00
4.126171E+00,4.86946E+00
4.126222E+00,4.87007E+00
4.126272E+00,4.86565E+00
4.126322E+00,4.86916E+00
4.126373E+00,4.87007E+00
4.126423E+00,4.86900E+00
4.126474E+00,4.86061E+00
4.126524E+00,4.86855E+00
4.126574E+00,4.86916E+00
4.126625E+00,4.87053E+00
4.126675E+00,4.87068E+00
4.126726E+00,4.87053E+00
4.126776E+00,4.86977E+00
4.126826E+00,4.87144E+00
4.126877E+00,4.87083E+00
4.126927E+00,4.87007E+00
4.126978E+00,4.86977E+00
4.127028E+00,4.87053E+00
4.127078E+00,4.87083E+00
4.127129E+00,4.87160E+00
4.127179E+00,4.87114E+00
4.127230E+00,4.87160E+00
4.127280E+00,4.86534E+00
4.127330E+00,4.87129E+00
4.127381E+00,4.87175E+00
4.127431E+00,4.87053E+00
4.127482E+00,4.87175E+00
4.127532E+00,4.87068E+00
4.127582E+00,4.87083E+00
4.127633E+00,4.87129E+00
4.127683E+00,4.87160E+00
4.127734E+00,4.87144E+00
4.127784E+00,4.87068E+00
4.127834E+00,4.87068E+00
4.127885E+00,4.87068E+00
4.127935E+00,4.87068E+00
4.127986E+00,4.86916E+00
4.128036E+00,4.87114E+00
4.128086E+00,4.87175E+00
4.128137E+00,4.87160E+00
4.128187E+00,4.87144E+00
4.128238E+00,4.87206E+00
4.128288E+00,4.86794E+00
4.128338E+00,4.87206E+00
4.128389E+00,4.87129E+00
4.128439E+00,4.86839E+00
4.128490E+00,4.86565E+00
4.128540E+00,4.87083E+00
4.128590E+00,4.87129E+00
4.128641E+00,4.87068E+00
4.128691E+00,4.87144E+00
4.128742E+00,4.87144E+00
4.128792E+00,4.87190E+00
4.128842E+00,4.87251E+00
4.128893E+00,4.87083E+00
4.128943E+00,4.87038E+00
4.128994E+00,4.87083E+00
4.129044E+00,4.87114E+00
4.129094E+00,4.87236E+00
4.129145E+00,4.87144E+00
4.129195E+00,4.87144E+00
4.129246E+00,4.86946E+00
4.129296E+00,4.86534E+00
4.129346E+00,4.87144E+00
4.129397E+00,4.87175E+00
4.129447E+00,4.86931E+00
4.129498E+00,4.87053E+00
4.129548E+00,4.87083E+00
4.129598E+00,4.87099E+00
4.129649E+00,4.87160E+00
4.129699E+00,4.87022E+00
4.129750E+00,4.87114E+00
4.129800E+00,4.87083E+00
4.129850E+00,4.87114E+00
4.129901E+00,4.87022E+00
4.129951E+00,4.86885E+00
4.130002E+00,4.86794E+00
4.130052E+00,4.87053E+00
4.130102E+00,4.87114E+00
4.130153E+00,4.86992E+00
4.130203E+00,4.86977E+00
4.130254E+00,4.86656E+00
4.130304E+00,4.86931E+00
4.130354E+00,4.87083E+00
4.130405E+00,4.87038E+00
4.130455E+00,4.86366E+00
4.130506E+00,4.86794E+00
4.130556E+00,4.87007E+00
4.130606E+00,4.87022E+00
4.130657E+00,4.87068E+00
4.130707E+00,4.87068E+00
4.130758E+00,4.87038E+00
4.130808E+00,4.86961E+00
4.130858E+00,4.87038E+00
4.130909E+00,4.86992E+00
4.130959E+00,4.86885E+00
4.131010E+00,4.86855E+00
4.131060E+00,4.86916E+00
4.131110E+00,4.86839E+00
4.131161E+00,4.86885E+00
4.131211E+00,4.87114E+00
4.131262E+00,4.86580E+00
4.131312E+00,4.86763E+00
4.131362E+00,4.86946E+00
4.131413E+00,4.87007E+00
4.131463E+00,4.86824E+00
4.131514E+00,4.86992E+00
4.131564E+00,4.87068E+00
4.131614E+00,4.87099E+00
4.131665E+00,4.87053E+00
4.131715E+00,4.87038E+00
4.131766E+00,4.87129E+00
4.131816E+00,4.87083E+00
4.131866E+00,4.87022E+00
4.131917E+00,4.87068E+00
4.131967E+00,4.87022E+00
4.132018E+00,4.86885E+00
4.132068E+00,4.87038E+00
4.132118E+00,4.87007E+00
4.132169E+00,4.86931E+00
4.132219E+00,4.87022E+00
4.132270E+00,4.86610E+00
4.132320E+00,4.86977E+00
4.132370E+00,4.86977E+00
4.132421E+00,4.87022E+00
4.132471E+00,4.86214E+00
