------------------------
------------------------
31/8/2020 10:1:32 msg Config 2 30aea474cbcc stats (rx_timestamp=94833047, rssi=-24, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=40, tx_frequency=868000000)
31/8/2020 10:1:34 msg Config 2 30aea474cbcc stats (rx_timestamp=96819767, rssi=-54, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=41, tx_frequency=868000000)
31/8/2020 10:1:35 msg Config 2 30aea474cbcc stats (rx_timestamp=96995053, rssi=-16, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=41, tx_frequency=868000000)
31/8/2020 10:1:37 msg Config 2 30aea474cbcc 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=99209075, rssi=-23, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=88, tx_counter=42, tx_frequency=868000000)
31/8/2020 10:1:38 msg Config 3 30aea474cbcc stats (rx_timestamp=100714293, rssi=-54, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=88, tx_counter=42, tx_frequency=868000000)
31/8/2020 10:1:39 msg Config 3 30aea474cbcc stats (rx_timestamp=100885299, rssi=-53, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=88, tx_counter=42, tx_frequency=868000000)
31/8/2020 10:1:41 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=103515369, rssi=-52, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=88, tx_counter=43, tx_frequency=868000000)
31/8/2020 10:1:41 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=103762366, rssi=-52, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=88, tx_counter=43, tx_frequency=868000000)
31/8/2020 10:1:50 msg Config 2 30aea474cbcc 3c71bf877510 3c71bf875fa8 30aea458f354 stats (rx_timestamp=112482903, rssi=-52, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=44, tx_frequency=868000000)
31/8/2020 10:1:55 msg Config 2 30aea474cbcc 3c71bf877510 3c71bf875fa8 30aea458f354 stats (rx_timestamp=116907910, rssi=-52, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=44, tx_frequency=868000000)
31/8/2020 10:1:58 msg Config 3 30aea474cbcc 3c71bf875fa8 30aea458f354 stats (rx_timestamp=120116909, rssi=-52, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=44, tx_frequency=868000000)
31/8/2020 10:2:31 msg Config 3 30aea474cbcc 3c71bf875fa8 30aea458f354 stats (rx_timestamp=153114412, rssi=-53, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=144, tx_counter=47, tx_frequency=868000000)
31/8/2020 10:2:35 msg Config 3 30aea474cbcc 3c71bf875fa8 30aea458f354 stats (rx_timestamp=156869407, rssi=-52, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=144, tx_counter=48, tx_frequency=868000000)
31/8/2020 10:2:37 msg stop 4 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=159119420, rssi=-53, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=144, tx_counter=49, tx_frequency=868000000)
31/8/2020 10:2:39 msg stop 2 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=161374415, rssi=-53, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=144, tx_counter=49, tx_frequency=868000000)
31/8/2020 10:2:40 Config ack recibido 
31/8/2020 10:2:41 msg stop 2 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=163632369, rssi=-51, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=144, tx_counter=49, tx_frequency=868000000)
31/8/2020 10:2:44 msg stop 3 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=165883371, rssi=-51, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=144, tx_counter=49, tx_frequency=868000000)
31/8/2020 10:2:51 msg stop 5 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=173413429, rssi=-50, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=52, tx_frequency=868000000)
31/8/2020 10:2:54 msg stop 5 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=176173424, rssi=-50, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=53, tx_frequency=868000000)
31/8/2020 10:2:58 msg stop 6 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=179924429, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=54, tx_frequency=868000000)
31/8/2020 10:3:1 msg stop 7 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=183729436, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=56, tx_frequency=868000000)
