------------------------
------------------------
31/8/2020 10:1:33 msg Config 2 30aea474cbcc 3c71bf877510 stats (rx_timestamp=94833047, rssi=-24, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=40, tx_frequency=868000000)
31/8/2020 10:1:36 msg Config 2 30aea474cbcc stats (rx_timestamp=96995053, rssi=-16, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=41, tx_frequency=868000000)
31/8/2020 10:1:40 msg Config 3 30aea474cbcc stats (rx_timestamp=100885299, rssi=-53, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=88, tx_counter=42, tx_frequency=868000000)
31/8/2020 10:1:43 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=103762366, rssi=-52, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=88, tx_counter=43, tx_frequency=868000000)
31/8/2020 10:2:0 msg Config 3 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 stats (rx_timestamp=120116909, rssi=-52, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=44, tx_frequency=868000000)
31/8/2020 10:2:28 msg stop 2 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 3 stats (rx_timestamp=120116909, rssi=-52, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=144, tx_counter=45, tx_frequency=868000000)
31/8/2020 10:2:28 msg stop 2 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 3 stats (rx_timestamp=120116909, rssi=-52, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=144, tx_counter=46, tx_frequency=868000000)
31/8/2020 10:2:32 msg stop 2 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 3 stats (rx_timestamp=153114412, rssi=-53, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=144, tx_counter=47, tx_frequency=868000000)
31/8/2020 10:2:36 msg stop 3 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 3 stats (rx_timestamp=156869407, rssi=-52, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=144, tx_counter=48, tx_frequency=868000000)
31/8/2020 10:2:45 msg Discover normal 2 3c71bf877510 stats (rx_timestamp=165883371, rssi=-51, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=144, tx_counter=49, tx_frequency=868000000)
31/8/2020 10:2:48 msg Discover normal 2 3c71bf877510 stats (rx_timestamp=165883371, rssi=-51, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=50, tx_frequency=868000000)
