------------------------
15/9/2020 0:12:59 msg Config 2 3c71bf877510 3c71bf875fa8 30aea458f354 stats (rx_timestamp=778326243, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=185, tx_frequency=868000000)
15/9/2020 0:13:7 msg Config 4 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=787689278, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=186, tx_frequency=868000000)
15/9/2020 0:13:16 msg Config 4 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=795876272, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=187, tx_frequency=868000000)
15/9/2020 0:13:21 msg Config 5 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=801246227, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=188, tx_frequency=868000000)
15/9/2020 0:13:49 msg stop 2 3c71bf877510 3c71bf875fa8 30aea458f354 2 stats (rx_timestamp=801246227, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=189, tx_frequency=868000000)
15/9/2020 0:13:49 msg stop 2 3c71bf877510 3c71bf875fa8 30aea458f354 2 stats (rx_timestamp=801246227, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=190, tx_frequency=868000000)
15/9/2020 0:13:58 msg Discover normal 2 30aea458f354 stats (rx_timestamp=834145676, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=191, tx_frequency=868000000)
15/9/2020 0:14:0 msg Discover normal 2 30aea458f354 stats (rx_timestamp=834145676, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=192, tx_frequency=868000000)
15/9/2020 0:14:3 msg Discover normal 2 30aea458f354 stats (rx_timestamp=843199724, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=193, tx_frequency=868000000)
15/9/2020 0:14:6 msg Discover normal 2 30aea458f354 stats (rx_timestamp=845874723, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=194, tx_frequency=868000000)
15/9/2020 0:14:8 msg Discover normal 3 30aea458f354 stats (rx_timestamp=848545723, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=195, tx_frequency=868000000)
15/9/2020 0:14:11 msg Discover normal 3 30aea458f354 stats (rx_timestamp=851219720, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=196, tx_frequency=868000000)
15/9/2020 0:14:14 msg Discover normal 3 30aea458f354 stats (rx_timestamp=854882715, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=197, tx_frequency=868000000)
15/9/2020 0:14:16 msg Discover normal 3 30aea458f354 stats (rx_timestamp=857564721, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=198, tx_frequency=868000000)
15/9/2020 0:14:19 msg Discover normal 4 30aea458f354 stats (rx_timestamp=859237715, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=199, tx_frequency=868000000)
15/9/2020 0:14:22 msg Discover normal 4 30aea458f354 stats (rx_timestamp=861928716, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=200, tx_frequency=868000000)
15/9/2020 0:14:24 msg Discover normal 4 30aea458f354 stats (rx_timestamp=865585673, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=201, tx_frequency=868000000)
15/9/2020 0:14:27 msg Discover normal 4 30aea458f354 stats (rx_timestamp=867248674, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=202, tx_frequency=868000000)
15/9/2020 0:14:30 msg Discover normal 5 30aea458f354 stats (rx_timestamp=870919668, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=203, tx_frequency=868000000)
15/9/2020 0:14:33 msg Discover normal 5 30aea458f354 stats (rx_timestamp=873599666, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=204, tx_frequency=868000000)
15/9/2020 0:14:35 msg Discover normal 5 30aea458f354 stats (rx_timestamp=876256672, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=205, tx_frequency=868000000)
15/9/2020 0:14:38 msg Discover normal 5 30aea458f354 stats (rx_timestamp=877956667, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=206, tx_frequency=868000000)
15/9/2020 0:14:41 msg Discover normal 6 30aea458f354 stats (rx_timestamp=881638667, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=207, tx_frequency=868000000)
15/9/2020 0:14:43 msg Discover normal 6 30aea458f354 stats (rx_timestamp=883295667, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=208, tx_frequency=868000000)
15/9/2020 0:14:46 msg Discover normal 6 30aea458f354 stats (rx_timestamp=886981666, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=209, tx_frequency=868000000)
15/9/2020 0:14:49 msg Discover normal 6 30aea458f354 stats (rx_timestamp=888630666, rssi=-98, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=210, tx_frequency=868000000)
15/9/2020 0:14:51 msg Discover normal 7 30aea458f354 stats (rx_timestamp=892306658, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=211, tx_frequency=868000000)
15/9/2020 0:14:54 msg Discover normal 7 30aea458f354 stats (rx_timestamp=893974658, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=212, tx_frequency=868000000)
15/9/2020 0:14:57 msg Discover normal 7 30aea458f354 stats (rx_timestamp=897636658, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=213, tx_frequency=868000000)
15/9/2020 0:14:59 msg Discover normal 7 30aea458f354 stats (rx_timestamp=899309658, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=214, tx_frequency=868000000)
15/9/2020 0:15:2 msg Discover normal 8 30aea458f354 stats (rx_timestamp=902979657, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=215, tx_frequency=868000000)
