15/9/2020 0:24:58 msg Config 2 3c71bf877510 stats (rx_timestamp=1505156561, rssi=-117, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=147, tx_frequency=868000000)
15/9/2020 0:24:59 msg Config 2 3c71bf877510 stats (rx_timestamp=1505973045, rssi=-87, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=147, tx_frequency=868000000)
15/9/2020 0:25:3 msg Config 3 3c71bf877510 stats (rx_timestamp=1510155040, rssi=-88, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=147, tx_frequency=868000000)
15/9/2020 0:25:7 msg Config 4 3c71bf877510 stats (rx_timestamp=1514386301, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=149, tx_frequency=868000000)
15/9/2020 0:25:9 msg Config 2 3c71bf877510 3c71bf875fa8 30aea458f354 stats (rx_timestamp=1515904508, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=149, tx_frequency=868000000)
15/9/2020 0:25:11 msg Config 4 3c71bf877510 stats (rx_timestamp=1518062494, rssi=-117, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=149, tx_frequency=868000000)
15/9/2020 0:25:17 msg Config 5 3c71bf877510 stats (rx_timestamp=1524516445, rssi=-114, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=151, tx_frequency=868000000)
15/9/2020 0:25:23 msg Config 6 3c71bf877510 stats (rx_timestamp=1530776847, rssi=-99, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=152, tx_frequency=868000000)
15/9/2020 0:25:29 msg Config 4 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=1535964808, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=154, tx_frequency=868000000)
15/9/2020 0:25:57 msg Config 5 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=1564022345, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=154, tx_frequency=868000000)
15/9/2020 0:25:57 msg stop 2 3c71bf877510 3c71bf875fa8 30aea458f354 2 stats (rx_timestamp=1564239333, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=154, tx_frequency=868000000)
15/9/2020 0:25:58 msg stop 2 3c71bf877510 3c71bf875fa8 30aea458f354 2 stats (rx_timestamp=1564929101, rssi=-97, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=155, tx_frequency=868000000)
15/9/2020 0:26:0 msg stop 2 3c71bf877510 3c71bf875fa8 30aea458f354 0 stats (rx_timestamp=1567096079, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=156, tx_frequency=868000000)
15/9/2020 0:26:6 msg stop 2 3c71bf877510 3c71bf875fa8 30aea458f354 0 stats (rx_timestamp=1572965719, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=156, tx_frequency=868000000)
15/9/2020 0:26:8 msg Discover normal 2 30aea458f354 stats (rx_timestamp=1575632718, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=156, tx_frequency=868000000)
15/9/2020 0:26:11 msg Discover normal 2 30aea458f354 stats (rx_timestamp=1578297722, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=157, tx_frequency=868000000)
15/9/2020 0:26:14 msg Discover normal 2 30aea458f354 stats (rx_timestamp=1580963721, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=158, tx_frequency=868000000)
15/9/2020 0:26:16 msg Discover normal 2 30aea458f354 stats (rx_timestamp=1583641722, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=159, tx_frequency=868000000)
15/9/2020 0:26:19 msg Discover normal 3 30aea458f354 stats (rx_timestamp=1586309724, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=160, tx_frequency=868000000)
15/9/2020 0:26:22 msg Discover normal 3 30aea458f354 stats (rx_timestamp=1588993724, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=161, tx_frequency=868000000)
15/9/2020 0:26:24 msg Discover normal 3 30aea458f354 stats (rx_timestamp=1591660730, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=162, tx_frequency=868000000)
15/9/2020 0:26:27 msg Discover normal 3 30aea458f354 stats (rx_timestamp=1594333690, rssi=-98, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=163, tx_frequency=868000000)
15/9/2020 0:26:30 msg Discover normal 4 30aea458f354 stats (rx_timestamp=1597003691, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=164, tx_frequency=868000000)
15/9/2020 0:26:32 msg Discover normal 4 30aea458f354 stats (rx_timestamp=1599677687, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=165, tx_frequency=868000000)
15/9/2020 0:26:35 msg Discover normal 4 30aea458f354 stats (rx_timestamp=1602347685, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=166, tx_frequency=868000000)
15/9/2020 0:26:38 msg Discover normal 4 30aea458f354 stats (rx_timestamp=1605019688, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=167, tx_frequency=868000000)
15/9/2020 0:26:40 msg Discover normal 5 30aea458f354 stats (rx_timestamp=1607685698, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=168, tx_frequency=868000000)
15/9/2020 0:26:43 msg Discover normal 5 30aea458f354 stats (rx_timestamp=1610381697, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=169, tx_frequency=868000000)
15/9/2020 0:26:46 msg Discover normal 5 30aea458f354 stats (rx_timestamp=1613049692, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=170, tx_frequency=868000000)
15/9/2020 0:26:48 msg Discover normal 5 30aea458f354 stats (rx_timestamp=1615722738, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=171, tx_frequency=868000000)
15/9/2020 0:26:51 msg Discover normal 6 30aea458f354 stats (rx_timestamp=1618392742, rssi=-94, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=172, tx_frequency=868000000)
15/9/2020 0:26:54 msg Discover normal 6 30aea458f354 stats (rx_timestamp=1621059739, rssi=-95, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=173, tx_frequency=868000000)
15/9/2020 0:26:56 msg Discover normal 6 30aea458f354 stats (rx_timestamp=1623729740, rssi=-95, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=174, tx_frequency=868000000)
15/9/2020 0:26:59 msg Discover normal 6 30aea458f354 stats (rx_timestamp=1626402706, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=175, tx_frequency=868000000)
15/9/2020 0:27:2 msg Discover normal 7 30aea458f354 stats (rx_timestamp=1629068708, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=176, tx_frequency=868000000)
15/9/2020 0:27:4 msg Discover normal 7 30aea458f354 stats (rx_timestamp=1631737708, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=177, tx_frequency=868000000)
15/9/2020 0:27:7 msg Discover normal 7 30aea458f354 stats (rx_timestamp=1634403704, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=178, tx_frequency=868000000)
15/9/2020 0:27:10 msg Discover normal 7 30aea458f354 stats (rx_timestamp=1637080712, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=179, tx_frequency=868000000)
15/9/2020 0:27:12 msg Discover normal 8 30aea458f354 stats (rx_timestamp=1639771710, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=180, tx_frequency=868000000)
15/9/2020 0:27:15 msg Discover normal 8 30aea458f354 stats (rx_timestamp=1642438714, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=181, tx_frequency=868000000)
15/9/2020 0:27:18 msg Discover normal 8 30aea458f354 stats (rx_timestamp=1645107714, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=182, tx_frequency=868000000)
15/9/2020 0:27:20 msg Discover normal 8 30aea458f354 stats (rx_timestamp=1647780679, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=183, tx_frequency=868000000)
15/9/2020 0:27:23 msg Discover normal 9 30aea458f354 stats (rx_timestamp=1650450675, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=184, tx_frequency=868000000)
