------------------------
15/9/2020 0:25:3 msg Config 2 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=1510155040, rssi=-88, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=147, tx_frequency=868000000)
15/9/2020 0:25:3 msg Config 2 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=1510155040, rssi=-88, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=148, tx_frequency=868000000)
15/9/2020 0:25:13 msg Config 4 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=1518062494, rssi=-117, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=149, tx_frequency=868000000)
15/9/2020 0:25:13 msg Config 4 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=1518062494, rssi=-117, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=150, tx_frequency=868000000)
15/9/2020 0:25:21 msg Config 4 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=1524516445, rssi=-114, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=151, tx_frequency=868000000)
15/9/2020 0:25:26 msg Config 5 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=1530776847, rssi=-99, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=152, tx_frequency=868000000)
15/9/2020 0:25:26 msg Config 5 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=1530776847, rssi=-99, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=153, tx_frequency=868000000)
15/9/2020 0:25:57 msg stop 2 3c71bf877510 3c71bf875fa8 30aea458f354 1 stats (rx_timestamp=1564239333, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=154, tx_frequency=868000000)
15/9/2020 0:25:59 msg stop 2 3c71bf877510 3c71bf875fa8 30aea458f354 1 stats (rx_timestamp=1564929101, rssi=-97, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=155, tx_frequency=868000000)
15/9/2020 0:26:8 msg Hello 2 3c71bf875fa8 stats (rx_timestamp=1575632718, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=156, tx_frequency=868000000)
15/9/2020 0:26:11 msg Hello 2 3c71bf875fa8 stats (rx_timestamp=1578297722, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=157, tx_frequency=868000000)
15/9/2020 0:26:14 msg Hello 2 3c71bf875fa8 stats (rx_timestamp=1580963721, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=158, tx_frequency=868000000)
15/9/2020 0:26:16 msg Hello 2 3c71bf875fa8 stats (rx_timestamp=1583641722, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=159, tx_frequency=868000000)
15/9/2020 0:26:20 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=1586309724, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=160, tx_frequency=868000000)
15/9/2020 0:26:23 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=1588993724, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=161, tx_frequency=868000000)
15/9/2020 0:26:24 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=1591660730, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=162, tx_frequency=868000000)
15/9/2020 0:26:27 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=1594333690, rssi=-98, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=163, tx_frequency=868000000)
15/9/2020 0:26:31 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=1597003691, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=164, tx_frequency=868000000)
15/9/2020 0:26:32 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=1599677687, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=165, tx_frequency=868000000)
15/9/2020 0:26:36 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=1602347685, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=166, tx_frequency=868000000)
15/9/2020 0:26:39 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=1605019688, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=167, tx_frequency=868000000)
15/9/2020 0:26:41 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=1607685698, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=168, tx_frequency=868000000)
15/9/2020 0:26:43 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=1610381697, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=169, tx_frequency=868000000)
15/9/2020 0:26:47 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=1613049692, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=170, tx_frequency=868000000)
15/9/2020 0:26:48 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=1615722738, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=171, tx_frequency=868000000)
15/9/2020 0:26:52 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=1618392742, rssi=-94, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=172, tx_frequency=868000000)
15/9/2020 0:26:54 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=1621059739, rssi=-95, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=173, tx_frequency=868000000)
15/9/2020 0:26:57 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=1623729740, rssi=-95, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=174, tx_frequency=868000000)
15/9/2020 0:26:59 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=1626402706, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=175, tx_frequency=868000000)
15/9/2020 0:27:3 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=1629068708, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=176, tx_frequency=868000000)
15/9/2020 0:27:4 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=1631737708, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=177, tx_frequency=868000000)
15/9/2020 0:27:8 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=1634403704, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=178, tx_frequency=868000000)
15/9/2020 0:27:11 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=1637080712, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=179, tx_frequency=868000000)
15/9/2020 0:27:13 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=1639771710, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=180, tx_frequency=868000000)
15/9/2020 0:27:16 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=1642438714, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=181, tx_frequency=868000000)
15/9/2020 0:27:19 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=1645107714, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=182, tx_frequency=868000000)
15/9/2020 0:27:22 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=1647780679, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=183, tx_frequency=868000000)
15/9/2020 0:27:24 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=1650450675, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=184, tx_frequency=868000000)
15/9/2020 0:27:26 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=1653117674, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=185, tx_frequency=868000000)
15/9/2020 0:27:30 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=1655784678, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=186, tx_frequency=868000000)
15/9/2020 0:27:31 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=1658462766, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=187, tx_frequency=868000000)
15/9/2020 0:27:34 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=1661130766, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=188, tx_frequency=868000000)
15/9/2020 0:27:38 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=1663801772, rssi=-91, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=189, tx_frequency=868000000)
15/9/2020 0:27:40 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=1666468762, rssi=-91, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=190, tx_frequency=868000000)
15/9/2020 0:27:43 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=1669184780, rssi=-91, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=191, tx_frequency=868000000)
15/9/2020 0:27:45 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=1671856776, rssi=-89, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=192, tx_frequency=868000000)
