nfo 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=3855798572, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:22:51 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=3863335529, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:22:55 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=3867126506, rssi=-117, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:22:56 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=3867874764, rssi=-119, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:22:59 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=3870873481, rssi=-118, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:23:16 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=3888251716, rssi=-123, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:23:37 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=3908740249, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:23:41 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=3912528222, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:23:48 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=3920247177, rssi=-124, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:23:56 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=3927778127, rssi=-120, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:24:18 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=3949376497, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
