------------------------
------------------------
------------------------
20/8/2020 9:20:29 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=814339795, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=79, tx_frequency=868000000)
20/8/2020 9:20:30 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=814339795, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=80, tx_frequency=868000000)
20/8/2020 9:20:34 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=814339795, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=81, tx_frequency=868000000)
20/8/2020 9:20:38 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=814339795, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=82, tx_frequency=868000000)
20/8/2020 9:20:41 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=826622922, rssi=-119, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=83, tx_frequency=868000000)
20/8/2020 9:20:41 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=826622922, rssi=-119, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=84, tx_frequency=868000000)
20/8/2020 9:20:45 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=826622922, rssi=-119, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=85, tx_frequency=868000000)
20/8/2020 9:20:49 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=826622922, rssi=-119, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=86, tx_frequency=868000000)
20/8/2020 9:20:53 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=836812910, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=87, tx_frequency=868000000)
20/8/2020 9:20:54 msg Config 5 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=836812910, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=103, tx_counter=88, tx_frequency=868000000)
20/8/2020 9:20:57 msg Config 5 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=836812910, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=103, tx_counter=89, tx_frequency=868000000)
20/8/2020 9:21:1 msg Config 6 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=847002901, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=103, tx_counter=90, tx_frequency=868000000)
20/8/2020 9:21:5 msg Config 6 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=847002901, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=103, tx_counter=91, tx_frequency=868000000)
20/8/2020 9:21:8 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=847002901, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=103, tx_counter=92, tx_frequency=868000000)
20/8/2020 9:21:11 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=857192887, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=103, tx_counter=93, tx_frequency=868000000)
20/8/2020 9:21:15 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=857192887, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=94, tx_frequency=868000000)
20/8/2020 9:21:20 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=857192887, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=95, tx_frequency=868000000)
20/8/2020 9:21:22 msg Config 9 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=867382878, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=103, tx_counter=96, tx_frequency=868000000)
20/8/2020 9:21:26 msg Config 9 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=867382878, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=103, tx_counter=97, tx_frequency=868000000)
20/8/2020 9:21:29 msg Config 10 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=867382878, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=103, tx_counter=98, tx_frequency=868000000)
20/8/2020 9:21:31 msg Config 10 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=877567840, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=108, tx_counter=99, tx_frequency=868000000)
20/8/2020 9:21:36 msg Config 11 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=877567840, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=108, tx_counter=100, tx_frequency=868000000)
20/8/2020 9:21:39 msg Config 11 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=877567840, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=108, tx_counter=101, tx_frequency=868000000)
20/8/2020 9:21:43 msg Config 12 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=887751829, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=108, tx_counter=102, tx_frequency=868000000)
20/8/2020 9:21:48 msg Config 12 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=887751829, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=108, tx_counter=103, tx_frequency=868000000)
20/8/2020 9:21:51 msg Config 13 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=897935817, rssi=-121, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=108, tx_counter=104, tx_frequency=868000000)
20/8/2020 9:21:56 msg Config 13 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=897935817, rssi=-121, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=108, tx_counter=105, tx_frequency=868000000)
20/8/2020 9:22:0 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=897935817, rssi=-121, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=106, tx_frequency=868000000)
20/8/2020 9:22:4 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=908124835, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=107, tx_frequency=868000000)
20/8/2020 9:22:9 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=908124835, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=108, tx_frequency=868000000)
20/8/2020 9:22:12 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=908124835, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=109, tx_frequency=868000000)
20/8/2020 9:22:16 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=908124835, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=108, tx_counter=110, tx_frequency=868000000)
20/8/2020 9:22:21 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=908124835, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=111, tx_frequency=868000000)
20/8/2020 9:22:24 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=908124835, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=112, tx_frequency=868000000)
20/8/2020 9:22:27 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=908124835, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=113, tx_frequency=868000000)
