------------------------
------------------------
20/8/2020 9:28:23 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=2305101557, rssi=-106, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=1051, tx_frequency=868000000)
20/8/2020 9:28:31 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=2313105559, rssi=-113, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=124, tx_counter=1052, tx_frequency=868000000)
20/8/2020 9:29:7 msg stop 7 30aea474cbcc 3c71bf875fa8 30aea458f354 1 stats (rx_timestamp=2349228011, rssi=-116, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=124, tx_counter=1055, tx_frequency=868000000)
20/8/2020 9:29:9 Config ack recibido 
20/8/2020 9:29:10 msg stop 7 30aea474cbcc 3c71bf875fa8 30aea458f354 1 stats (rx_timestamp=2352301020, rssi=-114, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=124, tx_counter=1055, tx_frequency=868000000)
20/8/2020 9:29:13 msg stop 7 30aea474cbcc 3c71bf875fa8 30aea458f354 1 stats (rx_timestamp=2354741018, rssi=-114, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=124, tx_counter=1055, tx_frequency=868000000)
20/8/2020 9:29:44 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=2385707103, rssi=-111, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=1064, tx_frequency=868000000)
20/8/2020 9:30:29 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=2431352122, rssi=-112, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=1078, tx_frequency=868000000)
20/8/2020 9:30:33 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=2434944129, rssi=-113, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=1079, tx_frequency=868000000)
20/8/2020 9:30:33 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=2435325132, rssi=-112, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=1079, tx_frequency=868000000)
20/8/2020 9:30:37 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=2438918128, rssi=-113, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=1080, tx_frequency=868000000)
20/8/2020 9:30:54 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=2455724159, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=1085, tx_frequency=868000000)
20/8/2020 9:30:57 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=2459417167, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=1086, tx_frequency=868000000)
20/8/2020 9:31:0 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=2462367171, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=1087, tx_frequency=868000000)
20/8/2020 9:31:1 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=2462735174, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=1087, tx_frequency=868000000)
20/8/2020 9:31:9 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=2471297199, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=1089, tx_frequency=868000000)
20/8/2020 9:31:11 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=2472953269, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=1090, tx_frequency=868000000)
20/8/2020 9:31:16 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=2478592261, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=1091, tx_frequency=868000000)
20/8/2020 9:31:23 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=2485046275, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=1093, tx_frequency=868000000)
20/8/2020 9:31:30 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=2492541286, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=1095, tx_frequency=868000000)
20/8/2020 9:31:36 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=2498012289, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=1097, tx_frequency=868000000)
20/8/2020 9:31:39 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=2500522296, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=1097, tx_frequency=868000000)
20/8/2020 9:31:44 msg Hello 12 30aea474cbcc stats (rx_timestamp=2506153291, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=1099, tx_frequency=868000000)
20/8/2020 9:31:45 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=2506686327, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=1099, tx_frequency=868000000)
20/8/2020 9:31:46 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=2508060304, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=1099, tx_frequency=868000000)
20/8/2020 9:31:48 msg Hello 13 30aea474cbcc stats (rx_timestamp=2510101292, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=1100, tx_frequency=868000000)
20/8/2020 9:31:50 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=2512012317, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=1100, tx_frequency=868000000)
20/8/2020 9:31:52 msg Hello 13 30aea474cbcc stats (rx_timestamp=2514516301, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=1101, tx_frequency=868000000)
20/8/2020 9:31:54 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=2516174321, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=1101, tx_frequency=868000000)
20/8/2020 9:31:56 msg Hello 13 30aea474cbcc stats (rx_timestamp=2518563310, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=1102, tx_frequency=868000000)
20/8/2020 9:32:0 msg Hello 13 30aea474cbcc stats (rx_timestamp=2522280317, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=1103, tx_frequency=868000000)
20/8/2020 9:32:2 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=2524123337, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=1103, tx_frequency=868000000)
20/8/2020 9:33:9 msg Discover normal 6 3c71bf875fa8 stats (rx_timestamp=2591437797, rssi=-122, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=1115, tx_frequency=868000000)
20/8/2020 9:33:16 msg Discover normal 7 3c71bf875fa8 stats (rx_timestamp=2598086808, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=1115, tx_frequency=868000000)
20/8/2020 9:33:19 msg Discover normal 7 3c71bf875fa8 stats (rx_timestamp=2601238812, rssi=-122, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=1116, tx_frequency=868000000)
20/8/2020 9:33:23 msg Discover normal 7 3c71bf875fa8 stats (rx_timestamp=2604643814, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=1117, tx_frequency=868000000)
20/8/2020 9:33:25 msg Discover normal 7 3c71bf875fa8 stats (rx_timestamp=2607550824, rssi=-122, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=1118, tx_frequency=868000000)
20/8/2020 9:33:29 msg Discover normal 8 3c71bf875fa8 stats (rx_timestamp=2610698823, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=1119, tx_frequency=868000000)
