rx_timestamp=2793744613, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 11:58:4 msg Config 11 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=2796224558, rssi=-123, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 11:58:7 msg Config 11 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=2798695549, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 11:58:9 msg Config 12 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=2801174591, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 11:58:12 msg Config 12 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=2803827581, rssi=-122, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 11:58:16 msg Config 13 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=2808315527, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 11:58:20 msg Config 13 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=2811791515, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 11:58:23 msg Config 14 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=2814768510, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 11:59:22 msg Config 9 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=2874249293, rssi=-125, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 11:59:33 msg Config 10 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=2885224352, rssi=-123, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 11:59:38 msg Config 11 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=2889717301, rssi=-120, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
