------------------------
------------------------
19/8/2020 10:14:6 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=187778524, rssi=-98, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:14:8 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=190576506, rssi=-100, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:14:11 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=193480504, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:14:14 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=196379489, rssi=-99, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:14:18 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=199780471, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:14:22 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=204178454, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:14:26 msg Config 5 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=207582447, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:14:28 msg Config 5 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=210475437, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:14:32 msg Config 6 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=214553420, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:14:37 msg Config 6 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=218957401, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:14:40 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=222369386, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:14:43 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=225275365, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:14:47 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=229183349, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:14:52 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=233587334, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:14:54 msg Config 9 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=236507277, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:14:58 msg Config 9 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=240409262, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:1 msg Config 10 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=242821313, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:3 msg Config 10 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=245227305, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:6 msg Config 11 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=247819289, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:8 msg Config 11 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=250230281, rssi=-91, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:11 msg Config 12 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=252639274, rssi=-89, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:13 msg Config 12 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=255049258, rssi=-91, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:16 msg Config 13 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=257966249, rssi=-88, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:20 msg Config 13 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=261873232, rssi=-88, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:24 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=266289216, rssi=-89, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:29 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=270704192, rssi=-88, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:33 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=274617168, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:37 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=279021151, rssi=-100, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:41 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=283108108, rssi=-99, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:45 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=287505091, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:49 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=290909067, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:52 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=294309049, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:55 msg Config 5 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=297215036, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:15:58 msg Config 5 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=300109027, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:16:1 msg Config 6 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=303011010, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:16:4 msg Config 6 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=305913994, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:16:7 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=308820978, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:16:11 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=312893960, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:16:15 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=317298929, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:16:19 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=320692913, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:16:22 msg Config 9 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=324097849, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:16:24 msg Config 9 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=326489838, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:16:27 msg Config 10 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=328902885, rssi=-92, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:16:29 msg Config 10 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=331304871, rssi=-92, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:16:32 msg Config 11 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=333711862, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
19/8/2020 10:16:36 msg Config 11 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=338113839, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=45, tx_frequency=868000000)
