15/7/2020 0:0:9 msg Hay buena cobertura de sensor 1 18 stats (rx_timestamp=10973483, rssi=-23, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=1, tx_frequency=868000000)
15/7/2020 0:0:12 msg Hay buena cobertura con mateu orfila 6 stats (rx_timestamp=13678447, rssi=-32, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=2, tx_frequency=868000000)
15/7/2020 0:0:13 msg Hay buena cobertura de sensor 2 1 stats (rx_timestamp=15163742, rssi=-38, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=3, tx_frequency=868000000)
15/7/2020 0:0:15 msg Hay buena cobertura de sensor 2 2 stats (rx_timestamp=17390859, rssi=-47, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=4, tx_frequency=868000000)
15/7/2020 0:0:17 msg Hay buena cobertura con mateu orfila 8 stats (rx_timestamp=19336755, rssi=-38, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=5, tx_frequency=868000000)
15/7/2020 0:0:18 msg Hay buena cobertura de sensor 1 0 stats (rx_timestamp=19929863, rssi=-47, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=5, tx_frequency=868000000)
15/7/2020 0:0:20 msg Hay buena cobertura con mateu orfila 9 stats (rx_timestamp=22278876, rssi=-47, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=6, tx_frequency=868000000)
15/7/2020 0:0:21 msg Hay buena cobertura de sensor 1 1 stats (rx_timestamp=23511755, rssi=-38, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=6, tx_frequency=868000000)
15/7/2020 0:0:23 msg Hay buena cobertura de sensor 1 2 stats (rx_timestamp=24828516, rssi=-33, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=7, tx_frequency=868000000)
15/7/2020 0:0:23 msg Hay buena cobertura con mateu orfila 10 stats (rx_timestamp=25267839, rssi=-50, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=7, tx_frequency=868000000)
15/7/2020 0:0:26 msg Hay buena cobertura de sensor 2 6 stats (rx_timestamp=27686801, rssi=-37, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=8, tx_frequency=868000000)
15/7/2020 0:0:28 msg Hay buena cobertura de sensor 1 3 stats (rx_timestamp=30245859, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=9, tx_frequency=868000000)
15/7/2020 0:0:30 msg Hay buena cobertura con mateu orfila 11 stats (rx_timestamp=31861808, rssi=-40, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=9, tx_frequency=868000000)
15/7/2020 0:0:34 msg Hay buena cobertura de sensor 1 5 stats (rx_timestamp=36036807, rssi=-41, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=11, tx_frequency=868000000)
15/7/2020 0:0:35 msg Hay buena cobertura con mateu orfila 12 stats (rx_timestamp=37510591, rssi=-31, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=11, tx_frequency=868000000)
15/7/2020 0:0:38 msg Hay buena cobertura con mateu orfila 13 stats (rx_timestamp=40405890, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=13, tx_frequency=868000000)
15/7/2020 0:0:42 msg Hay buena cobertura de sensor 2 11 stats (rx_timestamp=44386822, rssi=-41, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=14, tx_frequency=868000000)
15/7/2020 0:0:46 msg Hay buena cobertura de sensor 1 9 stats (rx_timestamp=48561781, rssi=-43, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=15, tx_frequency=868000000)
15/7/2020 0:0:48 msg Hay buena cobertura con mateu orfila 15 stats (rx_timestamp=50191957, rssi=-53, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=15, tx_frequency=868000000)
15/7/2020 0:0:49 msg Hay buena cobertura con mateu orfila 16 stats (rx_timestamp=50661623, rssi=-30, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=15, tx_frequency=868000000)
15/7/2020 0:0:51 msg Hay buena cobertura de sensor 1 13 stats (rx_timestamp=52736782, rssi=-40, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=15, tx_frequency=868000000)
15/7/2020 0:0:51 msg Hay buena cobertura de sensor 2 16 stats (rx_timestamp=53174630, rssi=-31, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=15, tx_frequency=868000000)
15/7/2020 0:0:53 msg Hay buena cobertura con mateu orfila 17 stats (rx_timestamp=55279976, rssi=-49, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=15, tx_frequency=868000000)
15/7/2020 0:0:54 msg Hay buena cobertura de sensor 2 17 stats (rx_timestamp=55682597, rssi=-27, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=15, tx_frequency=868000000)
------------------------
1/1/1970 0:0:8 msg Hay buena cobertura con mateu orfila 19 stats (rx_timestamp=8590101, rssi=-40, snr=6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
1/1/1970 0:0:9 msg Hay buena cobertura con mateu orfila 20 stats (rx_timestamp=9545923, rssi=-23, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=1, tx_frequency=868000000)
1/1/1970 0:0:12 msg Hay buena cobertura de sensor 2 22 stats (rx_timestamp=12054968, rssi=-23, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=2, tx_frequency=868000000)
1/1/1970 0:0:12 msg Hay buena cobertura de sensor 2 23 stats (rx_timestamp=12765098, rssi=-40, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=2, tx_frequency=868000000)
1/1/1970 0:0:16 msg Hay buena cobertura con mateu orfila 21 stats (rx_timestamp=16940143, rssi=-38, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=4, tx_frequency=868000000)
1/1/1970 0:0:21 msg Hay buena cobertura con mateu orfila 22 stats (rx_timestamp=21115140, rssi=-38, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=5, tx_frequency=868000000)
1/1/1970 0:0:22 msg Hay buena cobertura con mateu orfila 23 stats (rx_timestamp=22937988, rssi=-23, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=6, tx_frequency=868000000)
1/1/1970 0:0:25 msg Hay buena cobertura de sensor 2 27 stats (rx_timestamp=25290142, rssi=-38, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=7, tx_frequency=868000000)
1/1/1970 0:0:25 msg Hay buena cobertura con mateu orfila 24 stats (rx_timestamp=25755005, rssi=-23, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=7, tx_frequency=868000000)
1/1/1970 0:0:28 msg Hay buena cobertura de sensor 2 28 stats (rx_timestamp=28205963, rssi=-23, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=8, tx_frequency=868000000)
1/1/1970 0:0:30 msg Hay buena cobertura de sensor 2 29 stats (rx_timestamp=30109483, rssi=-44, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=9, tx_frequency=868000000)
1/1/1970 0:0:30 msg Config 2 30aea474bfe8 stats (rx_timestamp=30799410, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=9, tx_frequency=868000000)
1/1/1970 0:0:31 msg Hay buena cobertura de sensor 1 27 stats (rx_timestamp=31186966, rssi=-30, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=9, tx_frequency=868000000)
1/1/1970 0:0:32 msg Hay buena cobertura de sensor 2 30 stats (rx_timeN¶œy¶œ’j,¶·œz{\jYejËEŠW¬µØ§–)Þò)æ¡Û¥x§²n†«t‰ízºî¦
