dencia 822 stats (rx_timestamp=2351314732, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=822, tx_frequency=868000000)
28/7/2020 9:25:27 msg Hay buena cobertura con la residencia 823 stats (rx_timestamp=2366736459, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=823, tx_frequency=868000000)
28/7/2020 9:25:30 msg Hay buena cobertura con la residencia 824 stats (rx_timestamp=2370910510, rssi=-106, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=824, tx_frequency=868000000)
28/7/2020 9:25:34 msg Hay buena cobertura con la residencia 825 stats (rx_timestamp=2375084524, rssi=-106, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=825, tx_frequency=868000000)
28/7/2020 9:25:37 msg Hay buena cobertura con la residencia 826 stats (rx_timestamp=2375084524, rssi=-106, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=826, tx_frequency=868000000)
28/7/2020 9:25:40 msg Hay buena cobertura con la residencia 827 stats (rx_timestamp=2379258533, rssi=-105, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=827, tx_frequency=868000000)
28/7/2020 9:25:43 msg Hay buena cobertura con la residencia 828 stats (rx_timestamp=2383432540, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=828, tx_frequency=868000000)
28/7/2020 9:25:47 msg Hay buena cobertura con la residencia 829 stats (rx_timestamp=2387606503, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=829, tx_frequency=868000000)
28/7/2020 9:25:49 msg Hay buena cobertura con la residencia 830 stats (rx_timestamp=2387606503, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=830, tx_frequency=868000000)
28/7/2020 9:25:52 msg Hay buena cobertura con la residencia 831 stats (rx_timestamp=2391780511, rssi=-104, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=831, tx_frequency=868000000)
28/7/2020 9:25:56 msg Hay buena cobertura con la residencia 832 stats (rx_timestamp=2395954567, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=832, tx_frequency=868000000)
28/7/2020 9:25:58 msg Hay buena cobertura con la residencia 833 stats (rx_timestamp=2395954567, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=833, tx_frequency=868000000)
28/7/2020 9:26:1 msg Hay buena cobertura con la residencia 834 stats (rx_timestamp=2395954567, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=834, tx_frequency=868000000)
28/7/2020 9:26:5 msg Config 2 30aea474cbcc 30aea458f354 stats (rx_timestamp=2405729979, rssi=-115, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=835, tx_frequency=868000000)
28/7/2020 9:26:13 msg Config 3 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2412865973, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=836, tx_frequency=868000000)
