------------------------
------------------------
------------------------
------------------------
------------------------
27/7/2020 9:33:7 msg Hay buena cobertura con la residencia 0 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=0, tx_trials=0, tx_power=14, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 9:33:9 msg Hay buena cobertura con la residencia 1 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=1, tx_frequency=868000000)
27/7/2020 9:33:11 msg Hay buena cobertura con la residencia 2 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=2, tx_frequency=868000000)
27/7/2020 9:33:14 msg Hay buena cobertura con la residencia 3 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=3, tx_frequency=868000000)
27/7/2020 9:33:16 msg Hay buena cobertura con la residencia 4 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=4, tx_frequency=868000000)
27/7/2020 9:33:18 msg Hay buena cobertura con la residencia 5 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=5, tx_frequency=868000000)
27/7/2020 9:33:21 msg Hay buena cobertura con la residencia 6 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=6, tx_frequency=868000000)
27/7/2020 9:33:23 msg Hay buena cobertura con la residencia 7 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=7, tx_frequency=868000000)
27/7/2020 9:33:26 msg Hay buena cobertura con la residencia 8 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=8, tx_frequency=868000000)
27/7/2020 9:33:28 msg Hay buena cobertura con la residencia 9 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=9, tx_frequency=868000000)
27/7/2020 9:33:30 msg Hay buena cobertura con la residencia 10 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=10, tx_frequency=868000000)
27/7/2020 9:33:33 msg Hay buena cobertura con la residencia 11 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=11, tx_frequency=868000000)
27/7/2020 9:33:35 msg Hay buena cobertura con la residencia 12 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=12, tx_frequency=868000000)
27/7/2020 9:33:38 msg Hay buena cobertura con la residencia 13 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=13, tx_frequency=868000000)
27/7/2020 9:33:40 msg Hay buena cobertura con la residencia 14 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=14, tx_frequency=868000000)
27/7/2020 9:33:42 msg Hay buena cobertura con la residencia 15 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=15, tx_frequency=868000000)
27/7/2020 9:33:45 msg Hay buena cobertura con la residencia 16 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=16, tx_frequency=868000000)
27/7/2020 9:33:47 msg Hay buena cobertura con la residencia 17 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=17, tx_frequency=868000000)
------------------------
27/7/2020 9:33:7 msg Hay buena cobertura con la residencia 0 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=0, tx_trials=0, tx_power=14, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 9:33:9 msg Hay buena cobertura con la residencia 1 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=1, tx_frequency=868000000)
27/7/2020 9:33:11 msg Hay buena cobertura con la residencia 2 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=2, tx_frequency=868000000)
27/7/2020 9:33:14 msg Hay buena cobertura con la residencia 3 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=3, tx_frequency=868000000)
27/7/2020 9:33:16 msg Hay buena cobertura con la residencia 4 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=4, tx_frequency=868000000)
27/7/2020 9:33:19 msg Hay buena cobertura con la residencia 5 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=5, tx_frequency=868000000)
