=4, tx_time_on_air=103, tx_counter=615, tx_frequency=868000000)
29/7/2020 11:27:13 msg Config 5 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=103, tx_counter=616, tx_frequency=868000000)
29/7/2020 11:27:16 msg Config 5 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=103, tx_counter=617, tx_frequency=868000000)
29/7/2020 11:27:19 msg Config 6 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=103, tx_counter=618, tx_frequency=868000000)
29/7/2020 11:27:22 msg Config 6 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=103, tx_counter=619, tx_frequency=868000000)
29/7/2020 11:27:25 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=103, tx_counter=620, tx_frequency=868000000)
29/7/2020 11:27:29 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=103, tx_counter=621, tx_frequency=868000000)
29/7/2020 11:27:31 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=622, tx_frequency=868000000)
29/7/2020 11:27:34 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=623, tx_frequency=868000000)
29/7/2020 11:27:37 msg Config 9 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=103, tx_counter=624, tx_frequency=868000000)
29/7/2020 11:27:41 msg Config 9 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=103, tx_counter=625, tx_frequency=868000000)
29/7/2020 11:27:44 msg Config 10 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=103, tx_counter=626, tx_frequency=868000000)
29/7/2020 11:27:48 msg Config 10 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=108, tx_counter=627, tx_frequency=868000000)
29/7/2020 11:27:51 msg Config 11 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=108, tx_counter=628, tx_frequency=868000000)
29/7/2020 11:27:54 msg Config 11 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=108, tx_counter=629, tx_frequency=868000000)
29/7/2020 11:27:56 msg Config 12 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=108, tx_counter=630, tx_frequency=868000000)
29/7/2020 11:27:59 msg Config 12 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=108, tx_counter=631, tx_frequency=868000000)
29/7/2020 11:28:1 msg Config 13 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=108, tx_counter=632, tx_frequency=868000000)
29/7/2020 11:28:4 msg Config 13 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=108, tx_counter=633, tx_frequency=868000000)
29/7/2020 11:28:8 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=634, tx_frequency=868000000)
29/7/2020 11:28:10 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=635, tx_frequency=868000000)
29/7/2020 11:28:13 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=636, tx_frequency=868000000)
29/7/2020 11:28:17 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=637, tx_frequency=868000000)
29/7/2020 11:28:21 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=108, tx_counter=638, tx_frequency=868000000)
29/7/2020 11:28:24 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=639, tx_frequency=868000000)
29/7/2020 11:28:28 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=640, tx_frequency=868000000)
29/7/2020 11:28:32 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=641, tx_frequency=868000000)
29/7/2020 11:28:36 msg Config 5 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=103, tx_counter=642, tx_frequency=868000000)
29/7/2020 11:28:39 msg Config 5 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=103, tx_counter=643, tx_frequency=868000000)
29/7/2020 11:28:42 msg Config 6 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=103, tx_counter=644, tx_frequency=868000000)
29/7/2020 11:28:46 msg Config 6 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=103, tx_counter=645, tx_frequency=868000000)
29/7/2020 11:28:49 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=103, tx_counter=646, tx_frequency=868000000)
29/7/2020 11:28:51 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=103, tx_counter=647, tx_frequency=868000000)
29/7/2020 11:28:53 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=648, tx_frequency=868000000)
29/7/2020 11:28:56 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=649, tx_frequency=868000000)
29/7/2020 11:28:58 msg Config 9 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=103, tx_counter=650, tx_frequency=868000000)
29/7/2020 11:29:1 msg Config 9 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=103, tx_counter=651, tx_frequency=868000000)
29/7/2020 11:29:5 msg Config 10 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=103, tx_counter=652, tx_frequency=868000000)
29/7/2020 11:29:8 msg Config 10 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=108, tx_counter=653, tx_frequency=868000000)
29/7/2020 11:29:12 msg Config 11 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=108, tx_counter=654, tx_frequency=868000000)
29/7/2020 11:29:17 msg Config 11 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=108, tx_counter=655, tx_frequency=868000000)
29/7/2020 11:29:21 msg Config 12 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=108, tx_counter=656, tx_frequency=868000000)
29/7/2020 11:29:23 msg Config 12 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=108, tx_counter=657, tx_frequency=868000000)
29/7/2020 11:29:27 msg Config 13 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=108, tx_counter=658, tx_frequency=868000000)
29/7/2020 11:29:30 msg Config 13 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=108, tx_counter=659, tx_frequency=868000000)
29/7/2020 11:29:34 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=660, tx_frequency=868000000)
29/7/2020 11:29:37 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=661, tx_frequency=868000000)
29/7/2020 11:29:41 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=662, tx_frequency=868000000)
29/7/2020 11:29:44 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=663, tx_frequency=868000000)
29/7/2020 11:29:49 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=108, tx_counter=664, tx_frequency=868000000)
29/7/2020 11:29:52 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=665, tx_frequency=868000000)
29/7/2020 11:29:55 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=666, tx_frequency=868000000)
29/7/2020 11:29:59 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=667, tx_frequency=868000000)
29/7/2020 11:30:2 msg Config 5 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=103, tx_counter=668, tx_frequency=868000000)
29/7/2020 11:30:5 msg Config 5 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=103, tx_counter=669, tx_frequency=868000000)
29/7/2020 11:30:9 msg Config 6 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=103, tx_counter=670, tx_frequency=868000000)
29/7/2020 11:30:12 msg Config 6 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=103, tx_counter=671, tx_frequency=868000000)
29/7/2020 11:30:16 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=103, tx_counter=672, tx_frequency=868000000)
29/7/2020 11:30:20 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=103, tx_counter=673, tx_frequency=868000000)
29/7/2020 11:30:23 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=674, tx_frequency=868000000)
29/7/2020 11:30:26 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=675, tx_frequency=868000000)
29/7/2020 11:30:30 msg Config 9 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=103, tx_counter=676, tx_frequency=868000000)
