GÖˆg&WVVÊ7ì”ÉcÉê£#íÛrÛ##ì21:36 msg Discover normal 7 30aea474cbcc stats (rx_timestamp=1065075995, rssi=-113, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:21:38 msg Hello 6 30aea458f354 stats (rx_timestamp=1067209838, rssi=-95, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:21:40 msg Discover normal 7 30aea474cbcc stats (rx_timestamp=1069632999, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:21:41 msg Hello 7 30aea458f354 stats (rx_timestamp=1070591850, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:21:44 msg Discover normal 7 30aea474cbcc stats (rx_timestamp=1072833007, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:21:45 msg Hello 7 30aea458f354 stats (rx_timestamp=1074120859, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:21:46 msg Discover normal 7 30aea474cbcc stats (rx_timestamp=1075365011, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:21:48 msg Hello 7 30aea458f354 stats (rx_timestamp=1077478862, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:21:51 msg Discover normal 8 30aea474cbcc stats (rx_timestamp=1079723015, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:21:52 msg Hello 7 30aea458f354 stats (rx_timestamp=1080829871, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:21:53 msg Discover normal 8 30aea474cbcc stats (rx_timestamp=1082252019, rssi=-110, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
