------------------------
29/7/2020 9:4:3 msg Hay buena cobertura de mateu orfila sensor 1 0 stats (rx_timestamp=10789888, rssi=-59, snr=6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
29/7/2020 9:4:14 msg Hay buena cobertura de mateu orfila sensor 1 1 stats (rx_timestamp=21294970, rssi=-60, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=1, tx_frequency=868000000)
29/7/2020 9:4:25 msg Hay buena cobertura de mateu orfila sensor 1 2 stats (rx_timestamp=34211010, rssi=-60, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=2, tx_frequency=868000000)
29/7/2020 9:4:36 msg Hay buena cobertura de mateu orfila sensor 1 3 stats (rx_timestamp=39186073, rssi=-63, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=3, tx_frequency=868000000)
29/7/2020 9:4:47 msg Hay buena cobertura de mateu orfila sensor 1 4 stats (rx_timestamp=39186073, rssi=-63, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=4, tx_frequency=868000000)
29/7/2020 9:4:57 msg Hay buena cobertura de mateu orfila sensor 1 5 stats (rx_timestamp=39186073, rssi=-63, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=5, tx_frequency=868000000)
29/7/2020 9:5:7 msg Hay buena cobertura de mateu orfila sensor 1 6 stats (rx_timestamp=39186073, rssi=-63, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=6, tx_frequency=868000000)
29/7/2020 9:5:18 msg Hay buena cobertura de mateu orfila sensor 1 7 stats (rx_timestamp=39186073, rssi=-63, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=7, tx_frequency=868000000)
29/7/2020 9:5:28 msg Hay buena cobertura de mateu orfila sensor 1 8 stats (rx_timestamp=39186073, rssi=-63, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=8, tx_frequency=868000000)
29/7/2020 9:5:39 msg Hay buena cobertura de mateu orfila sensor 1 9 stats (rx_timestamp=39186073, rssi=-63, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=9, tx_frequency=868000000)
29/7/2020 9:5:50 msg Hay buena cobertura de mateu orfila sensor 1 10 stats (rx_timestamp=117973403, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=10, tx_frequency=868000000)
------------------------
29/7/2020 9:4:2 msg Hay buena cobertura de mateu orfila sensor 1 0 stats (rx_timestamp=6608660, rssi=-114, snr=-2.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
29/7/2020 9:4:12 msg Hay buena cobertura de mateu orfila sensor 1 1 stats (rx_timestamp=20397602, rssi=-106, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=1, tx_frequency=868000000)
29/7/2020 9:4:25 msg Hay buena cobertura de mateu orfila sensor 1 2 stats (rx_timestamp=32798669, rssi=-104, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=2, tx_frequency=868000000)
29/7/2020 9:4:36 msg Hay buena cobertura de mateu orfila sensor 1 3 stats (rx_timestamp=44195949, rssi=-37, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=3, tx_frequency=868000000)
29/7/2020 9:4:49 msg Hay buena cobertura de mateu orfila sensor 1 4 stats (rx_timestamp=57454727, rssi=-116, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=4, tx_frequency=868000000)
