y=868000000)
27/7/2020 20:16:10 msg Discover next 12 2 stats (rx_timestamp=3312431881, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:16:16 msg Discover next 12 2 stats (rx_timestamp=3318083849, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:16:21 msg Discover next 12 2 stats (rx_timestamp=3323684817, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:16:27 msg Discover next 12 2 stats (rx_timestamp=3329315777, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:16:33 msg Discover next 12 2 stats (rx_timestamp=3334972745, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:16:38 msg Discover next 12 2 stats (rx_timestamp=3340576712, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:16:44 msg Discover next 12 2 stats (rx_timestamp=3346207680, rssi=-112, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:16:50 msg Discover next 12 2 stats (rx_timestamp=3351863652, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:16:55 msg Discover next 12 2 stats (rx_timestamp=3357519618, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:17:1 msg Discover next 12 2 stats (rx_timestamp=3363309585, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:17:7 msg Discover next 12 2 stats (rx_timestamp=3368966545, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:17:12 msg Discover next 12 2 stats (rx_timestamp=3374591515, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:17:18 msg Discover next 12 2 stats (rx_timestamp=3380250484, rssi=-114, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:17:24 msg Discover next 12 2 stats (rx_timestamp=3385910448, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:17:29 msg Discover next 12 2 stats (rx_timestamp=3391513418, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:17:35 msg Discover next 12 2 stats (rx_timestamp=3397170385, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:17:41 msg Discover next 12 2 stats (rx_timestamp=3402821352, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:17:46 msg Discover next 12 2 stats (rx_timestamp=3408451320, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:17:52 msg Discover next 12 2 stats (rx_timestamp=3414101281, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:17:58 msg Discover next 12 2 stats (rx_timestamp=3419950247, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:18:3 msg Discover next 12 2 stats (rx_timestamp=3425548212, rssi=-114, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:18:9 msg Discover next 12 2 stats (rx_timestamp=3431193188, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:18:15 msg Discover next 12 2 stats (rx_timestamp=3436776153, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:18:20 msg Discover next 12 2 stats (rx_timestamp=3442395121, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:18:26 msg Discover next 12 2 stats (rx_timestamp=3447995089, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:18:31 msg Discover next 12 2 stats (rx_timestamp=3453652056, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:18:37 msg Discover next 12 2 stats (rx_timestamp=3459248017, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:18:43 msg Discover next 12 2 stats (rx_timestamp=3464871988, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:18:48 msg Discover next 12 2 stats (rx_timestamp=3470488960, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
