------------------------
------------------------
------------------------
29/7/2020 11:34:42 msg stop 2 30aea474cbcc 3c71bf875fa8 30aea458f2e4 1 stats (rx_timestamp=43957569, rssi=-122, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=4, tx_frequency=868000000)
29/7/2020 11:34:44 msg stop 3 30aea474cbcc 3c71bf875fa8 30aea458f2e4 1 stats (rx_timestamp=46374617, rssi=-122, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=4, tx_frequency=868000000)
29/7/2020 11:34:45 msg stop 2 30aea474cbcc 3c71bf875fa8 30aea458f2e4 0 stats (rx_timestamp=47150317, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=4, tx_frequency=868000000)
29/7/2020 11:34:45 Config ack recibido 
29/7/2020 11:34:56 msg Hello 2 3c71bf875fa8 stats (rx_timestamp=57836623, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=6, tx_frequency=868000000)
29/7/2020 11:34:57 msg stop 3 30aea474cbcc 3c71bf875fa8 30aea458f2e4 0 stats (rx_timestamp=58598301, rssi=-114, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=6, tx_frequency=868000000)
29/7/2020 11:34:59 msg Hello 2 3c71bf875fa8 stats (rx_timestamp=61111623, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=7, tx_frequency=868000000)
29/7/2020 11:35:4 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=66062615, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=9, tx_frequency=868000000)
29/7/2020 11:35:7 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=69132618, rssi=-117, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=10, tx_frequency=868000000)
29/7/2020 11:35:11 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=73206616, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=11, tx_frequency=868000000)
29/7/2020 11:35:13 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=75281611, rssi=-116, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=12, tx_frequency=868000000)
29/7/2020 11:35:17 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=78702571, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=13, tx_frequency=868000000)
29/7/2020 11:35:20 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=81785563, rssi=-117, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=14, tx_frequency=868000000)
29/7/2020 11:35:23 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=84689564, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=15, tx_frequency=868000000)
29/7/2020 11:35:29 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=90812566, rssi=-117, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=17, tx_frequency=868000000)
29/7/2020 11:35:33 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=94892569, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=18, tx_frequency=868000000)
29/7/2020 11:35:35 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=96973564, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=19, tx_frequency=868000000)
29/7/2020 11:35:39 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=101054560, rssi=-120, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=20, tx_frequency=868000000)
