------------------------
27/7/2020 11:0:2 msg Hay buena cobertura de sensor 2 parc bit0 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:0:5 msg Hay buena cobertura de sensor 2 parc bit1 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=1, tx_frequency=868000000)
27/7/2020 11:0:7 msg Hay buena cobertura de sensor 2 parc bit2 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=2, tx_frequency=868000000)
27/7/2020 11:0:9 msg Hay buena cobertura de sensor 2 parc bit3 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=3, tx_frequency=868000000)
27/7/2020 11:0:12 msg Hay buena cobertura de sensor 2 parc bit4 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=4, tx_frequency=868000000)
27/7/2020 11:0:14 msg Hay buena cobertura de sensor 2 parc bit5 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=5, tx_frequency=868000000)
27/7/2020 11:0:16 msg Hay buena cobertura de sensor 2 parc bit6 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=6, tx_frequency=868000000)
27/7/2020 11:0:19 msg Hay buena cobertura de sensor 2 parc bit7 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=7, tx_frequency=868000000)
27/7/2020 11:0:21 msg Hay buena cobertura de sensor 2 parc bit8 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=8, tx_frequency=868000000)
27/7/2020 11:0:24 msg Hay buena cobertura de sensor 2 parc bit9 stats (rx_timestamp=30075560, rssi=-115, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=9, tx_frequency=868000000)
27/7/2020 11:0:26 msg Hay buena cobertura de sensor 2 parc bit10 stats (rx_timestamp=30075560, rssi=-115, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=10, tx_frequency=868000000)
