ƒ¿Ã∞Å—·}çΩ’π—ï»Ùÿ‡ƒ∞Å—·}ô…ï≈’ïπç‰Ù‡ÿ‡¿¿¿¿¿¿§(»‡º‹º»¿»¿ÄƒƒËÃ–ËƒƒÅµÕúÅΩπô•úÄƒƒÄÃ¡ÖïÑ–‹—çâçåÄÕå‹≈âò‡‹‹‘ƒ¿ÅÕ—Ö—ÃÄ°…·}—•µïÕ—Öµ¿Ù»Ã‹‰‘–‘»»‹∞Å…ÕÕ§Ù¥ƒƒÃ∞ÅÕπ»Ù¥»∏¿∞ÅÕô…‡Ù‹∞ÅÕô—‡Ù‹∞Å—·}—…•Ö±ÃÙ¿∞Å—·}¡Ω›ï»Ùƒƒ∞Å—·}—•µï}Ωπ}Ö•»Ùƒ¿Ã∞Å—·}çΩ’π—ï»Ùÿ‡»∞Å—·}ô…ï≈’ïπç‰Ù‡ÿ‡¿¿¿¿¿¿§(»‡º‹º»¿»¿ÄƒƒËÃ–Ëƒ‘ÅµÕúÄConfig 11 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=108, tx_counter=683, tx_frequency=868000000)
28/7/2020 11:34:20 msg Config 12 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=108, tx_counter=684, tx_frequency=868000000)
28/7/2020 11:34:23 msg Config 12 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=103, tx_counter=685, tx_frequency=868000000)
28/7/2020 11:34:26 msg Config 13 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=103, tx_counter=686, tx_frequency=868000000)
28/7/2020 11:34:29 msg Config 13 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=108, tx_counter=687, tx_frequency=868000000)
28/7/2020 11:34:33 msg Config 14 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=688, tx_frequency=868000000)
28/7/2020 11:34:35 msg Config 14 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=689, tx_frequency=868000000)
28/7/2020 11:34:39 msg Config 14 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=690, tx_frequency=868000000)
28/7/2020 11:34:43 msg Config 14 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=691, tx_frequency=868000000)
28/7/2020 11:34:48 msg Config 3 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=108, tx_counter=692, tx_frequency=868000000)
28/7/2020 11:34:51 msg Config 3 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=693, tx_frequency=868000000)
28/7/2020 11:34:54 msg Config 4 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=694, tx_frequency=868000000)
28/7/2020 11:34:58 msg Config 4 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=695, tx_frequency=868000000)
28/7/2020 11:35:2 msg Config 5 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=103, tx_counter=696, tx_frequency=868000000)
28/7/2020 11:35:6 msg Config 5 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=103, tx_counter=697, tx_frequency=868000000)
28/7/2020 11:35:8 msg Config 6 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=103, tx_counter=698, tx_frequency=868000000)
