, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3722, tx_frequency=868000000)
17/7/2020 2:46:41 msg Hay buena cobertura de sensor 2 10024 stats (rx_timestamp=1418185107, rssi=-106, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3723, tx_frequency=868000000)
17/7/2020 2:46:44 msg Hay buena cobertura de sensor 2 10025 stats (rx_timestamp=1421196033, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3724, tx_frequency=868000000)
17/7/2020 2:46:47 msg Hay buena cobertura de sensor 2 10026 stats (rx_timestamp=1423929084, rssi=-107, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3725, tx_frequency=868000000)
17/7/2020 2:46:50 msg Hay buena cobertura de sensor 2 10027 stats (rx_timestamp=1427480133, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3727, tx_frequency=868000000)
17/7/2020 2:46:53 msg Hay buena cobertura de sensor 2 10028 stats (rx_timestamp=1430435136, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3728, tx_frequency=868000000)
17/7/2020 2:46:59 msg Hay buena cobertura de sensor 2 10029 stats (rx_timestamp=1435905155, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3730, tx_frequency=868000000)
17/7/2020 2:47:2 msg Hay buena cobertura de sensor 2 10031 stats (rx_timestamp=1438653083, rssi=-108, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3731, tx_frequency=868000000)
17/7/2020 2:47:4 msg Hay buena cobertura de sensor 2 10032 stats (rx_timestamp=1441389125, rssi=-108, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3732, tx_frequency=868000000)
17/7/2020 2:47:7 msg Hay buena cobertura de sensor 2 10033 stats (rx_timestamp=1444266173, rssi=-108, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3733, tx_frequency=868000000)
17/7/2020 2:47:10 msg Hay buena cobertura de sensor 2 10034 stats (rx_timestamp=1447145142, rssi=-108, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3734, tx_frequency=868000000)
17/7/2020 2:47:13 msg Hay buena cobertura de sensor 2 10035 stats (rx_timestamp=1449857198, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3735, tx_frequency=868000000)
17/7/2020 2:47:16 msg Hay buena cobertura de sensor 2 10036 stats (rx_timestamp=1452593207, rssi=-109, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3736, tx_frequency=868000000)
17/7/2020 2:47:18 msg Hay buena cobertura de sensor 2 10037 stats (rx_timestamp=1455285166, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3737, tx_frequency=868000000)
17/7/2020 2:47:21 msg Hay buena cobertura de sensor 2 10038 stats (rx_timestamp=1457971176, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3738, tx_frequency=868000000)
17/7/2020 2:47:24 msg Hay buena cobertura de sensor 2 10039 stats (rx_timestamp=1460662232, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3739, tx_frequency=868000000)
17/7/2020 2:47:27 msg Hay buena cobertura de sensor 2 10040 stats (rx_timestamp=1463359193, rssi=-107, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3740, tx_frequency=868000000)
17/7/2020 2:47:32 msg Hay buena cobertura de sensor 2 10041 stats (rx_timestamp=1468756251, rssi=-108, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3742, tx_frequency=868000000)
