------------------------
27/7/2020 9:33:9 msg Hay buena cobertura con la residencia 0 stats (rx_timestamp=8390351, rssi=-109, snr=4.0, sfrx=7, sftx=0, tx_trials=0, tx_power=14, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
------------------------
27/7/2020 9:33:8 msg Hay buena cobertura con la residencia 0 stats (rx_timestamp=10061421, rssi=-101, snr=6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=14, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 9:33:11 msg Hay buena cobertura con la residencia 1 stats (rx_timestamp=10061421, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=1, tx_frequency=868000000)
27/7/2020 9:33:13 msg Hay buena cobertura con la residencia 2 stats (rx_timestamp=10061421, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=2, tx_frequency=868000000)
27/7/2020 9:33:17 msg Config 13 30aea474cbcc 3c71bf877510 30aea458f354 stats (rx_timestamp=17210446, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=113, tx_counter=3, tx_frequency=868000000)
27/7/2020 9:33:48 msg stop 13 30aea474cbcc 3c71bf877510 30aea458f354 2 stats (rx_timestamp=17210446, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=124, tx_counter=4, tx_frequency=868000000)
27/7/2020 9:33:49 msg stop 13 30aea474cbcc 3c71bf877510 30aea458f354 2 stats (rx_timestamp=17210446, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=124, tx_counter=5, tx_frequency=868000000)
27/7/2020 9:33:54 msg stop 13 30aea474cbcc 3c71bf877510 30aea458f354 2 stats (rx_timestamp=53432457, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=124, tx_counter=6, tx_frequency=868000000)
27/7/2020 9:34:4 msg Discover normal 2 30aea458f354 stats (rx_timestamp=58804473, rssi=-117, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=7, tx_frequency=868000000)
27/7/2020 9:34:8 msg Discover normal 2 30aea458f354 stats (rx_timestamp=67883071, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=8, tx_frequency=868000000)
27/7/2020 9:34:12 msg Discover normal 2 30aea458f354 stats (rx_timestamp=72819081, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=9, tx_frequency=868000000)
27/7/2020 9:34:16 msg Discover normal 2 30aea458f354 stats (rx_timestamp=76235090, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=10, tx_frequency=868000000)
27/7/2020 9:34:19 msg Discover normal 3 30aea458f354 stats (rx_timestamp=79963097, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=11, tx_frequency=868000000)
