6ç#ÓrãÂ6g'ƒÓrÂ6gGƒÓrÂG…÷G&–Ç3Ó, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:0:30 msg Config 9 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1472319594, rssi=-97, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:0:35 msg Config 9 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1476686582, rssi=-96, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:0:38 msg Config 10 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1480062578, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:0:41 msg Config 10 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1482930572, rssi=-95, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:0:45 msg Config 11 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1486813587, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:0:49 msg Config 11 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1491188586, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:0:53 msg Config 12 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1494567553, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:0:55 msg Config 12 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1497437547, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:0:59 msg Config 13 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1501321556, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:1:2 msg Config 13 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1503858560, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:1:4 msg Config 14 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1506231551, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
