stats (rx_timestamp=2709322498, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6210, tx_frequency=868000000)
17/7/2020 4:19:51 msg Hay buena cobertura con mateu orfila 3993 stats (rx_timestamp=2713500485, rssi=-110, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6211, tx_frequency=868000000)
17/7/2020 4:19:56 msg Hay buena cobertura con mateu orfila 3994 stats (rx_timestamp=2717677443, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6213, tx_frequency=868000000)
17/7/2020 4:20:0 msg Hay buena cobertura con mateu orfila 3995 stats (rx_timestamp=2721854432, rssi=-109, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6214, tx_frequency=868000000)
17/7/2020 4:20:4 msg Hay buena cobertura con mateu orfila 3996 stats (rx_timestamp=2726032459, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6216, tx_frequency=868000000)
17/7/2020 4:20:8 msg Hay buena cobertura con mateu orfila 3997 stats (rx_timestamp=2730209457, rssi=-112, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6218, tx_frequency=868000000)
17/7/2020 4:20:12 msg Hay buena cobertura con mateu orfila 3998 stats (rx_timestamp=2734386445, rssi=-110, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6219, tx_frequency=868000000)
17/7/2020 4:20:16 msg Hay buena cobertura con mateu orfila 3999 stats (rx_timestamp=2738563434, rssi=-109, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6221, tx_frequency=868000000)
17/7/2020 4:20:21 msg Hay buena cobertura con mateu orfila 4000 stats (rx_timestamp=2742740378, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6223, tx_frequency=868000000)
17/7/2020 4:20:25 msg Hay buena cobertura con mateu orfila 4001 stats (rx_timestamp=2746917371, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6224, tx_frequency=868000000)
17/7/2020 4:20:29 msg Hay buena cobertura con mateu orfila 4002 stats (rx_timestamp=2751094395, rssi=-110, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6226, tx_frequency=868000000)
17/7/2020 4:20:37 msg Hay buena cobertura con mateu orfila 4003 stats (rx_timestamp=2759448379, rssi=-110, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6229, tx_frequency=868000000)
17/7/2020 4:20:42 msg Hay buena cobertura con mateu orfila 4004 stats (rx_timestamp=2763625370, rssi=-110, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6231, tx_frequency=868000000)
17/7/2020 4:20:46 msg Hay buena cobertura con mateu orfila 4006 stats (rx_timestamp=2767802321, rssi=-111, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6233, tx_frequency=868000000)
17/7/2020 4:20:50 msg Hay buena cobertura con mateu orfila 4007 stats (rx_timestamp=2771979267, rssi=-110, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6234, tx_frequency=868000000)
17/7/2020 4:20:54 msg Hay buena cobertura con mateu orfila 4008 stats (rx_timestamp=2776156338, rssi=-108, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=6236, tx_frequency=868000000)
17/7/2020 4:21:2 msg Hay buena cobertura con mateu orfila 4009 stats (rx_timestamp=2784510304, rssi=-109, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6239, tx_frequency=868000000)
17/7/2020 4:21:7 msg Hay buena cobertura con mateu orfila 4010 stats (rx_timestamp=2788687288, rssi=-110, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6241, tx_frequency=868000000)
17/7/2020 4:21:15 msg Hay buena cobertura con mateu orfila 4012 stats (rx_timestamp=2797041258, rssi=-111, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6244, tx_frequency=868000000)
17/7/2020 4:21:19 msg Hay buena cobertura con mateu orfila 4013 stats (rx_timestamp=2801218201, rssi=-112, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6246, tx_frequency=868000000)
17/7/2020 4:21:28 msg Hay buena cobertura con mateu orfila 4015 stats (rx_timestamp=2809572209, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6249, tx_frequency=868000000)
17/7/2020 4:21:32 msg Hay buena cobertura con mateu orfila 4016 stats (rx_timestamp=2813750194, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6251, tx_frequency=868000000)
17/7/2020 4:21:40 msg Hay buena cobertura con mateu orfila 4018 stats (rx_timestamp=2822104122, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6254, tx_frequency=868000000)
17/7/2020 4:21:44 msg Hay buena cobertura con mateu orfila 4019 stats (rx_timestamp=2826282139, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6256, tx_frequency=868000000)
17/7/2020 4:21:48 msg Hay buena cobertura con mateu orfila 4021 stats (rx_timestamp=2830459122, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6258, tx_frequency=868000000)
17/7/2020 4:21:53 msg Hay buena cobertura con mateu orfila 4022 stats (rx_timestamp=2834637108, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6259, tx_frequency=868000000)
17/7/2020 4:21:57 msg Hay buena cobertura con mateu orfila 4023 stats (rx_timestamp=2838814096, rssi=-112, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6261, tx_frequency=868000000)
17/7/2020 4:22:5 msg Hay buena cobertura con mateu orfila 4024 stats (rx_timestamp=2847168023, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6264, tx_frequency=868000000)
17/7/2020 4:22:9 msg Hay buena cobertura con mateu orfila 4025 stats (rx_timestamp=2851345038, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6266, tx_frequency=868000000)
17/7/2020 4:22:13 msg Hay buena cobertura con mateu orfila 4027 stats (rx_timestamp=2855522023, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6268, tx_frequency=868000000)
17/7/2020 4:22:18 msg Hay buena cobertura con mateu orfila 4028 stats (rx_timestamp=2859699008, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6269, tx_frequency=868000000)
17/7/2020 4:22:22 msg Hay buena cobertura con mateu orfila 4029 stats (rx_timestamp=2863875992, rssi=-112, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6271, tx_frequency=868000000)
17/7/2020 4:22:26 msg Hay buena cobertura con mateu orfila 4030 stats (rx_timestamp=2868053979, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6272, tx_frequency=868000000)
17/7/2020 4:22:30 msg Hay buena cobertura con mateu orfila 4031 stats (rx_timestamp=2872230918, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6274, tx_frequency=868000000)
17/7/2020 4:22:34 msg Hay buena cobertura con mateu orfila 4032 stats (rx_timestamp=2876407904, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6276, tx_frequency=868000000)
17/7/2020 4:22:39 msg Hay buena cobertura con mateu orfila 4033 stats (rx_timestamp=2880584889, rssi=-112, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6277, tx_frequency=868000000)
17/7/2020 4:22:43 msg Hay buena cobertura con mateu orfila 4034 stats (rx_timestamp=2884761913, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6279, tx_frequency=868000000)
