27/7/2020 11:0:10 msg stop 9 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=18902332, rssi=-112, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:0:12 msg stop 9 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=21580353, rssi=-114, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:0:17 msg stop 10 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=26056384, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:0:20 msg stop 10 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=29018409, rssi=-112, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:0:24 msg stop 11 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=33219489, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:0:27 msg stop 11 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=35682504, rssi=-112, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:0:29 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=38654521, rssi=-111, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:0:33 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=42622551, rssi=-110, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:0:37 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=45826572, rssi=-110, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:0:41 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=49962609, rssi=-110, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:0:46 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=54660635, rssi=-109, snr=-4.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:0:50 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=58847664, rssi=-108, snr=-3.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:1:52 msg stop 10 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=121037076, rssi=-114, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:1:57 msg stop 10 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=125755109, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:2:0 msg stop 11 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=129245171, rssi=-114, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:2:3 msg stop 11 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=131972191, rssi=-114, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:2:5 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=134473208, rssi=-112, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:2:8 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=137412238, rssi=-111, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:2:11 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=139919245, rssi=-112, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:2:13 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=142403269, rssi=-110, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:2:16 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=145123288, rssi=-110, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:2:19 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=148104304, rssi=-110, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:3:39 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=228236871, rssi=-114, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:3:43 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=232222900, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:3:48 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=237109931, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:3:53 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=241816970, rssi=-110, snr=-4.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:3:57 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=245808990, rssi=-108, snr=-3.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:4:0 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=249289019, rssi=-109, snr=-4.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:5:1 msg stop 10 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=309677401, rssi=-116, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:5:3 msg stop 10 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=312157417, rssi=-116, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:5:5 msg stop 11 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=314640474, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:5:8 msg stop 11 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=317124493, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:5:11 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=319835512, rssi=-112, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:5:14 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=322810532, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:5:18 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=327204560, rssi=-112, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:5:21 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=330186583, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:5:25 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=334416615, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:5:29 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=338641638, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:6:38 msg stop 10 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=407211079, rssi=-114, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:6:43 msg stop 10 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=411923112, rssi=-114, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:6:46 msg stop 11 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=415407176, rssi=-114, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:6:50 msg stop 11 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=419628207, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:6:55 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=424345235, rssi=-112, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:6:59 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=427829260, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:7:2 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=430701278, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:7:5 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=433673296, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:7:8 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=436882318, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:7:11 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=440356347, rssi=-109, snr=-4.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:8:19 msg stop 11 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=507708808, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:8:22 msg stop 11 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=510685833, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:8:26 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=515571867, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:8:30 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=519345899, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:8:34 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=523360918, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
